,"K=100, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.001","K=100, T=1, prior_sigma=0.0001","K=100, T=1, prior_sigma=1e-05","K=100, T=1, prior_sigma=1e-06"
Accuracy,0.9898,0.9896,0.9876,0.9638,0.9821,0.7479,0.3391,0.0892
Entropy,1.060410976409912,0.9426370859146118,1.4223905801773071,1.8874760866165161,1.7045612335205078,2.102501392364502,2.2290124893188477,2.25404953956604
LPD,-0.3869155943393707,-0.30579429864883423,-0.5672706365585327,-1.0653403997421265,-0.8266707062721252,-1.4904963970184326,-2.1264808177948,-2.3139901161193848
ECE,0.29590389132499695,0.23974741995334625,0.40838873386383057,0.6091588139533997,0.5332675576210022,0.5072838664054871,0.18341822922229767,0.054490797221660614
MCE,0.44300270080566406,0.4099920392036438,0.5183364152908325,0.6480507850646973,0.6198601126670837,0.6727428436279297,0.18341825902462006,0.054490722715854645
OOD,1.6939407587051392,1.6722583770751953,1.932068943977356,2.1592159271240234,1.953967571258545,2.162760019302368,2.2331295013427734,2.237220287322998
