,"K=100, T=1, prior_sigma=100","K=100, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.001"
Accuracy,0.9822,0.986,0.9876,0.899,0.9786,0.7215
Entropy,2.0721702575683594,1.9100581407546997,1.836927890777588,2.1201066970825195,1.9657987356185913,2.123430013656616
LPD,-1.2538273334503174,-0.9909567832946777,-0.9132211804389954,-1.4763990640640259,-1.0693691968917847,-1.6651886701583862
ECE,0.6899821758270264,0.6048316955566406,0.5797115564346313,0.6630702018737793,0.6258355379104614,0.5086496472358704
MCE,0.7293089628219604,0.6689997911453247,0.6261026859283447,0.7191042900085449,0.6763790845870972,0.6483662128448486
OOD,2.0828964710235596,2.069368362426758,2.034424066543579,2.1845338344573975,2.1329877376556396,2.1490566730499268
