,"K=1000, T=1, prior_sigma=10","K=1000, T=1, prior_sigma=1","K=1000, T=1, prior_sigma=0.1","K=1000, T=1, prior_sigma=0.01","K=1000, T=1, prior_sigma=0.001","K=1000, T=1, prior_sigma=0.0001","K=1000, T=1, prior_sigma=1e-05","K=1000, T=1, prior_sigma=1e-06"
Accuracy,0.8745,0.878,0.881,0.8802,0.8258,0.3763,0.2313,0.1
Entropy,0.8671845197677612,0.566739559173584,0.580341100692749,0.5900775790214539,1.2732456922531128,2.239189624786377,2.268002986907959,2.278012752532959
LPD,-0.47638368606567383,-0.40043875575065613,-0.4098563492298126,-0.39098697900772095,-0.7349892258644104,-2.0306203365325928,-2.1979572772979736,-2.311699628829956
ECE,0.14568346738815308,0.07032361626625061,0.07721983641386032,0.06493452191352844,0.24232128262519836,0.21373125910758972,0.07810062170028687,0.04483529180288315
MCE,0.2170015573501587,0.18381817638874054,0.3170727491378784,0.1818404644727707,0.3077513575553894,0.6084679365158081,0.0781007707118988,0.044835321605205536
OOD,1.648018479347229,1.2373766899108887,1.1133296489715576,1.0301920175552368,1.6224747896194458,2.192079544067383,2.2708115577697754,2.2396163940429688
