,"K=1000, T=1, prior_sigma=100","K=1000, T=1, prior_sigma=10","K=1000, T=1, prior_sigma=1","K=1000, T=1, prior_sigma=0.1","K=1000, T=1, prior_sigma=0.01","K=1000, T=1, prior_sigma=0.001"
Accuracy,0.8264,0.9846,0.9848,0.9864,0.9806,0.1304
Entropy,2.1190409660339355,1.7040042877197266,0.8393206596374512,0.5297754406929016,0.5324103236198425,2.291814088821411
LPD,-1.4803500175476074,-0.7257784008979797,-0.2663745582103729,-0.18862998485565186,-0.17783021926879883,-2.3029603958129883
ECE,0.5827498435974121,0.4848262667655945,0.19628125429153442,0.13331930339336395,0.11163173615932465,0.013362795114517212
MCE,0.6768912076950073,0.6016807556152344,0.3385814428329468,0.33920416235923767,0.31408825516700745,0.013362742960453033
OOD,2.18465256690979,2.0548462867736816,1.710142970085144,1.43765389919281,1.9950796365737915,2.298619031906128
