,"K=10, T=200, prior_sigma=10","K=10, T=200, prior_sigma=1","K=10, T=200, prior_sigma=0.1","K=10, T=200, prior_sigma=0.01","K=10, T=200, prior_sigma=0.001","K=10, T=200, prior_sigma=0.0001","K=10, T=200, prior_sigma=1e-05","K=10, T=200, prior_sigma=1e-06"
Accuracy,0.9876,0.9876,0.9707,0.6364,0.262,0.0974,0.3536,0.9693
Entropy,1.6419904232025146,1.153611421585083,1.8021667003631592,2.192699432373047,2.2382380962371826,2.2619614601135254,2.055856943130493,1.445406436920166
LPD,-0.6867754459381104,-0.42187947034835815,-0.9494881629943848,-1.7914462089538574,-2.1710011959075928,-2.3494560718536377,-1.691069483757019,-0.8562013506889343
ECE,0.47461986541748047,0.3174118995666504,0.5729003548622131,0.44838154315948486,0.09946231544017792,0.03774631768465042,0.12896651029586792,0.5331384539604187
MCE,0.5628420114517212,0.47376272082328796,0.6269711852073669,0.7664241790771484,0.09946225583553314,0.0377463772892952,0.1746693253517151,0.5475738048553467
OOD,1.9071491956710815,1.6816349029541016,2.0467991828918457,2.1743814945220947,2.226921796798706,2.239377975463867,2.0778186321258545,1.732666015625
