,"K=10, T=1, prior_sigma=100","K=10, T=1, prior_sigma=10","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.001"
Accuracy,0.9792,0.9895,0.9899,0.8016,0.6511,0.8138
Entropy,2.0070154666900635,1.8742761611938477,1.7160385847091675,1.904416799545288,1.881629228591919,2.1175389289855957
LPD,-1.1455167531967163,-0.9352388381958008,-0.8037744164466858,-1.3237829208374023,-1.5302104949951172,-1.4972599744796753
ECE,0.6502212285995483,0.5887280702590942,0.5342490673065186,0.5151165723800659,0.3933500051498413,0.5771886110305786
MCE,0.7086995840072632,0.6400437355041504,0.6141944527626038,0.6400130987167358,0.6591730713844299,0.6771235466003418
OOD,2.10947322845459,2.0424702167510986,1.9939663410186768,2.0476675033569336,1.9159303903579712,2.2429113388061523
