,"K=100, T=250, prior_sigma=10","K=100, T=250, prior_sigma=1","K=100, T=250, prior_sigma=0.1","K=100, T=250, prior_sigma=0.01","K=100, T=250, prior_sigma=0.001","K=100, T=250, prior_sigma=0.0001","K=100, T=250, prior_sigma=1e-05","K=100, T=250, prior_sigma=1e-06"
Accuracy,0.896,0.8303,0.7086,0.4797,0.1024,0.1,0.6668,0.8388
Entropy,1.7596384286880493,1.9279659986495972,2.0642733573913574,2.2454817295074463,2.2705843448638916,2.2567083835601807,1.8662792444229126,1.5012829303741455
LPD,-0.9199237823486328,-1.2031762599945068,-1.491146206855774,-1.9320954084396362,-2.2139816284179688,-2.3522732257843018,-1.4647929668426514,-1.0563805103302002
ECE,0.46140414476394653,0.484030544757843,0.4532807767391205,0.3074459433555603,0.05058371275663376,0.0716765895485878,0.3663886487483978,0.3942577540874481
MCE,0.5199404954910278,0.554868221282959,0.6544674634933472,0.7676213979721069,0.050583891570568085,0.07167638093233109,0.582321286201477,0.4985441565513611
OOD,2.070732593536377,2.0366125106811523,2.129446506500244,2.2584545612335205,2.2095704078674316,2.23349666595459,2.0417897701263428,1.650391697883606
