,"K=1000, T=25, prior_sigma=10","K=1000, T=25, prior_sigma=1","K=1000, T=25, prior_sigma=0.1","K=1000, T=25, prior_sigma=0.01","K=1000, T=25, prior_sigma=0.001","K=1000, T=25, prior_sigma=0.0001","K=1000, T=25, prior_sigma=1e-05","K=1000, T=25, prior_sigma=1e-06"
Accuracy,0.8224,0.8502,0.8596,0.699,0.1029,0.1,0.1,0.6931
Entropy,1.5216251611709595,0.8194002509117126,0.8664518594741821,1.8189972639083862,2.2424871921539307,2.2698802947998047,2.2489805221557617,1.8570202589035034
LPD,-0.8074783086776733,-0.4907223582267761,-0.4973432123661041,-1.2251384258270264,-2.2011094093322754,-2.2683908939361572,-2.3462772369384766,-1.4623602628707886
ECE,0.2966642379760742,0.11430270969867706,0.1259765923023224,0.3230842351913452,0.16955046355724335,0.053680695593357086,0.09576872736215591,0.3901233673095703
MCE,0.3577866554260254,0.17552709579467773,0.19326990842819214,0.4766397476196289,0.4570152461528778,0.05368063598871231,0.09576881676912308,0.5848937034606934
OOD,1.9609812498092651,1.3995394706726074,1.3237338066101074,1.8764245510101318,2.213096857070923,2.257016181945801,2.219432830810547,2.000669002532959
