,"K=100, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.001","K=100, T=1, prior_sigma=0.0001","K=100, T=1, prior_sigma=1e-05","K=100, T=1, prior_sigma=1e-06"
Accuracy,0.9002,0.9028,0.8976,0.879,0.8084,0.5736,0.2086,0.1
Entropy,0.8863183259963989,0.8041684627532959,1.0899943113327026,1.2871618270874023,1.8098405599594116,2.213186502456665,2.259449005126953,2.2479984760284424
LPD,-0.4417968988418579,-0.42020663619041443,-0.5769047737121582,-0.6586428284645081,-1.0644899606704712,-1.7908976078033447,-2.163820266723633,-2.3018746376037598
ECE,0.17970672249794006,0.16584497690200806,0.2693488597869873,0.2882753908634186,0.41121357679367065,0.37440991401672363,0.05702820420265198,0.07971557229757309
MCE,0.26818782091140747,0.26897525787353516,0.3435627818107605,0.37257981300354004,0.4975365400314331,0.701705276966095,0.05702805519104004,0.07971564680337906
OOD,1.6532347202301025,1.6598583459854126,1.7009222507476807,1.791009545326233,2.1231868267059326,2.207202672958374,2.2542293071746826,2.197153329849243
