,"K=10, T=2500, prior_sigma=10","K=10, T=2500, prior_sigma=1","K=10, T=2500, prior_sigma=0.1","K=10, T=2500, prior_sigma=0.01","K=10, T=2500, prior_sigma=0.001","K=10, T=2500, prior_sigma=0.0001","K=10, T=2500, prior_sigma=1e-05","K=10, T=2500, prior_sigma=1e-06"
Accuracy,0.8788,0.8382,0.5922,0.202,0.0217,0.4611,0.8294,0.845
Entropy,2.0241777896881104,1.9988276958465576,2.222776412963867,2.233314275741577,2.1380698680877686,2.0482776165008545,1.582115888595581,1.4629708528518677
LPD,-1.212029218673706,-1.279662847518921,-1.877172589302063,-2.135359048843384,-2.724661350250244,-1.669669508934021,-1.0779505968093872,-1.0372213125228882
ECE,0.5567552447319031,0.5297972559928894,0.4039956331253052,0.06066598743200302,0.1892765462398529,0.21325406432151794,0.4098242521286011,0.3919200897216797
MCE,0.6076987981796265,0.594078779220581,0.733610987663269,0.5128090977668762,0.3089137673377991,0.5614720582962036,0.5039529800415039,0.8349850177764893
OOD,2.190157413482666,2.1450531482696533,2.2317471504211426,2.1657915115356445,2.157809257507324,2.1183533668518066,1.7643389701843262,1.6028670072555542
