,"K=1000, T=2, prior_sigma=10","K=1000, T=2, prior_sigma=1","K=1000, T=2, prior_sigma=0.1","K=1000, T=2, prior_sigma=0.01","K=1000, T=2, prior_sigma=0.001","K=1000, T=2, prior_sigma=0.0001","K=1000, T=2, prior_sigma=1e-05","K=1000, T=2, prior_sigma=1e-06"
Accuracy,0.9892,0.9895,0.9883,0.9812,0.9664,0.4819,0.0892,0.0892
Entropy,1.096605896949768,0.31095996499061584,0.2389196753501892,0.24053432047367096,1.0895451307296753,2.2396891117095947,2.2231788635253906,2.2433817386627197
LPD,-0.34425991773605347,-0.09401752799749374,-0.08566750586032867,-0.09525018185377121,-0.40990766882896423,-1.9267189502716064,-2.267800807952881,-2.3486101627349854
ECE,0.2655661106109619,0.06191062182188034,0.050695814192295074,0.04059557616710663,0.2626338601112366,0.31903862953186035,0.11507821828126907,0.08426404744386673
MCE,0.4274359345436096,0.2378697693347931,0.3079543113708496,0.1970757246017456,0.4335712194442749,0.6892184019088745,0.18500804901123047,0.08426401764154434
OOD,1.8983023166656494,1.5388524532318115,1.5236842632293701,1.7755504846572876,2.1745736598968506,2.2921910285949707,2.2378745079040527,2.2054293155670166
