,"K=10, T=1, prior_sigma=10","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.001","K=10, T=1, prior_sigma=0.0001","K=10, T=1, prior_sigma=1e-05","K=10, T=1, prior_sigma=1e-06"
Accuracy,0.9902,0.9904,0.9894,0.9885,0.9839,0.7879,0.1892,0.2965
Entropy,1.0623210668563843,0.7931312918663025,0.6140874028205872,1.1534843444824219,1.6070889234542847,2.087721824645996,2.2455217838287354,2.243718385696411
LPD,-0.3780288100242615,-0.2527616024017334,-0.18191571533679962,-0.40297091007232666,-0.808986485004425,-1.462278127670288,-2.09291410446167,-2.339613914489746
ECE,0.29145804047584534,0.2002478986978531,0.14139185845851898,0.30489709973335266,0.5271100997924805,0.5414895415306091,0.03255055472254753,0.1576664298772812
MCE,0.44954928755760193,0.3817478120326996,0.28773146867752075,0.4653814733028412,0.6212372779846191,0.5960265398025513,0.799350380897522,0.15766654908657074
OOD,1.6895222663879395,1.589255452156067,1.543798565864563,1.831900715827942,1.7836649417877197,2.1445226669311523,2.2084803581237793,2.2306461334228516
