,"K=1000, T=1, prior_sigma=10","K=1000, T=1, prior_sigma=1","K=1000, T=1, prior_sigma=0.1","K=1000, T=1, prior_sigma=0.01","K=1000, T=1, prior_sigma=0.001","K=1000, T=1, prior_sigma=0.0001","K=1000, T=1, prior_sigma=1e-05","K=1000, T=1, prior_sigma=1e-06"
Accuracy,0.9896,0.9893,0.988,0.9851,0.9727,0.5741,0.2795,0.0892
Entropy,0.9844667911529541,0.37295883893966675,0.33954867720603943,0.21973949670791626,0.5810469388961792,2.228544235229492,2.2489490509033203,2.281043291091919
LPD,-0.3006015717983246,-0.10773040354251862,-0.12269552052021027,-0.08381831645965576,-0.20481258630752563,-1.8162230253219604,-2.1862990856170654,-2.3067450523376465
ECE,0.23417039215564728,0.0754421129822731,0.08261334896087646,0.03950247913599014,0.11648683249950409,0.3900415301322937,0.12050512433052063,0.04440038651227951
MCE,0.42312783002853394,0.25970232486724854,0.2449970543384552,0.19300854206085205,0.28435325622558594,0.6803643703460693,0.7770933508872986,0.044400282204151154
OOD,1.873396396636963,1.5389083623886108,1.593369722366333,1.7238792181015015,2.0671579837799072,2.293912410736084,2.235673427581787,2.217890501022339
