,"K=100, T=1, prior_sigma=100","K=100, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.001"
Accuracy,0.8193,0.8386,0.8288,0.7962,0.6513,0.6647
Entropy,1.7942460775375366,1.6815844774246216,1.6410987377166748,1.8322457075119019,2.038635015487671,2.2070019245147705
LPD,-1.1027214527130127,-0.976466178894043,-0.960009753704071,-1.1611396074295044,-1.5641387701034546,-1.762826681137085
ECE,0.44074195623397827,0.41206973791122437,0.3985428214073181,0.4410242438316345,0.40278860926628113,0.47703760862350464
MCE,0.523811399936676,0.5025460720062256,0.5008420348167419,0.5346677303314209,0.6041687726974487,0.6927056312561035
OOD,2.084441661834717,2.0388855934143066,2.0885331630706787,2.1296842098236084,2.1651506423950195,2.2322845458984375
