,"K=10, T=1, prior_sigma=100","K=10, T=1, prior_sigma=10","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.001"
Accuracy,0.7144,0.8342,0.9052,0.8973,0.8268,0.4442
Entropy,1.8058816194534302,1.7104523181915283,1.6024526357650757,1.6887198686599731,1.9120351076126099,2.1525492668151855
LPD,-1.2061898708343506,-1.0041834115982056,-0.8107348680496216,-0.911297619342804,-1.2651888132095337,-1.8333089351654053
ECE,0.352603018283844,0.4144415855407715,0.4202941656112671,0.46114617586135864,0.5156510472297668,0.24981987476348877
MCE,0.5629501342773438,0.5614241361618042,0.4819667339324951,0.5174168348312378,0.5955729484558105,0.6457217931747437
OOD,2.0723373889923096,2.0055861473083496,1.9910320043563843,2.0064518451690674,2.118659734725952,2.129030227661133
