,"K=100, T=20, prior_sigma=10","K=100, T=20, prior_sigma=1","K=100, T=20, prior_sigma=0.1","K=100, T=20, prior_sigma=0.01","K=100, T=20, prior_sigma=0.001","K=100, T=20, prior_sigma=0.0001","K=100, T=20, prior_sigma=1e-05","K=100, T=20, prior_sigma=1e-06"
Accuracy,0.9891,0.9883,0.9249,0.9779,0.6647,0.2831,0.0892,0.4465
Entropy,1.2348730564117432,0.7581198811531067,1.7779144048690796,1.8389703035354614,2.2138285636901855,2.2458953857421875,2.2550127506256104,2.0662992000579834
LPD,-0.4498578906059265,-0.24251995980739594,-1.1303091049194336,-0.9543883800506592,-1.7309365272521973,-2.2243738174438477,-2.33966326713562,-1.6090892553329468
ECE,0.33912545442581177,0.18825788795948029,0.5879810452461243,0.5837785601615906,0.4717234969139099,0.1278674304485321,0.06852055341005325,0.20805346965789795
MCE,0.4778825640678406,0.33655214309692383,0.6339583396911621,0.6309678554534912,0.7727421522140503,0.12786734104156494,0.06852041929960251,0.6891762018203735
OOD,1.7583706378936768,1.5620969533920288,2.0234405994415283,2.019075870513916,2.2110087871551514,2.2253503799438477,2.240152597427368,2.073978900909424
