         ,"K=10, T=2500, low_rank=0" ,"K=10, T=2500, low_rank=1" ,"K=10, T=2500, low_rank=2" ,"K=10, T=2500, low_rank=5" ,"K=10, T=2500, low_rank=10" ,"K=100, T=250, low_rank=0" ,"K=100, T=250, low_rank=1" ,"K=100, T=250, low_rank=2" ,"K=100, T=250, low_rank=5" ,"K=100, T=250, low_rank=10" ,"K=1000, T=25, low_rank=0" ,"K=1000, T=25, low_rank=1" ,"K=1000, T=25, low_rank=2" ,"K=1000, T=25, low_rank=5" ,"K=1000, T=25, low_rank=10"
Accuracy ,0.9052                     ,0.9054                     ,0.9054                     ,0.9055                     ,0.9056                      ,0.9076                     ,0.9064                     ,0.9064                     ,0.9064                     ,0.9064                      ,0.9077                     ,0.9074                     ,0.9072                     ,0.9074                     ,0.9072
Entropy  ,0.17259055376052856        ,0.17294825613498688        ,0.17291313409805298        ,0.17277704179286957        ,0.17253518104553223         ,0.19591975212097168        ,0.19497035443782806        ,0.19491246342658997        ,0.19470961391925812        ,0.19432412087917328         ,0.2863198220729828         ,0.2862479090690613         ,0.28635820746421814        ,0.28711581230163574        ,0.2867438495159149
LPD      ,-0.2867007255554199        ,-0.28699877858161926       ,-0.2870264947414398        ,-0.2870989143848419        ,-0.2872077524662018         ,-0.2676819860935211        ,-0.269299179315567         ,-0.26932385563850403       ,-0.2693668305873871        ,-0.2695233225822449         ,-0.25467395782470703       ,-0.25345900654792786       ,-0.25345495343208313       ,-0.2537696659564972        ,-0.2536483108997345
ECE      ,0.029637014493346214       ,0.029321003705263138       ,0.029333289712667465       ,0.02948329970240593        ,0.029508765786886215        ,0.01972164213657379        ,0.019287899136543274       ,0.019308798015117645       ,0.019389064982533455       ,0.0195388812571764          ,0.01446064468473196        ,0.014209209941327572       ,0.014328010380268097       ,0.014276807196438313       ,0.01474419143050909
MCE      ,0.278076171875             ,0.27013957500457764        ,0.2701500654220581         ,0.27032923698425293        ,0.2705962061882019          ,0.28543826937675476        ,0.29396486282348633        ,0.2939559519290924         ,0.29423844814300537        ,0.29427123069763184         ,0.13561905920505524        ,0.15718019008636475        ,0.06833842396736145        ,0.058120131492614746       ,0.06267690658569336
OOD      ,0.4008099138736725         ,0.40215906500816345        ,0.4017987549304962         ,0.40095824003219604        ,0.3993094861507416          ,0.5782579183578491         ,0.5797297358512878         ,0.5793371200561523         ,0.5781249403953552         ,0.5759931206703186          ,1.006381869316101          ,0.9871888160705566         ,0.9865003824234009         ,0.9872554540634155         ,0.985579252243042
