         ,"K=10, T=200"         ,"K=100, T=20"         ,"K=1000, T=2"
Accuracy ,0.9892                ,0.9904                ,0.9922
Entropy  ,0.02377048321068287   ,0.026275215670466423  ,0.03297894820570946
LPD      ,-0.030496764928102493 ,-0.027374666184186935 ,-0.02235061302781105
ECE      ,0.0034634959883987904 ,0.002031962387263775  ,0.0029721041209995747
MCE      ,0.3841090500354767    ,0.6171212792396545    ,0.390398234128952
OOD      ,1.2215980291366577    ,1.2417950630187988    ,1.2342591285705566
