,"K=10, T=2500, prior_sigma=1e-06, num_transformations=30","K=10, T=2500, prior_sigma=1e-05, num_transformations=30","K=10, T=2500, prior_sigma=0.0001, num_transformations=30","K=10, T=2500, prior_sigma=0.001, num_transformations=30","K=10, T=2500, prior_sigma=0.01, num_transformations=30","K=10, T=2500, prior_sigma=0.1, num_transformations=30","K=10, T=2500, prior_sigma=1, num_transformations=30","K=10, T=2500, prior_sigma=10, num_transformations=30","K=100, T=250, prior_sigma=1e-06, num_transformations=30","K=100, T=250, prior_sigma=1e-05, num_transformations=30","K=100, T=250, prior_sigma=0.0001, num_transformations=30","K=100, T=250, prior_sigma=0.001, num_transformations=30","K=100, T=250, prior_sigma=0.01, num_transformations=30","K=100, T=250, prior_sigma=0.1, num_transformations=30","K=100, T=250, prior_sigma=1, num_transformations=30","K=100, T=250, prior_sigma=10, num_transformations=30","K=1000, T=25, prior_sigma=1e-06, num_transformations=30","K=1000, T=25, prior_sigma=1e-05, num_transformations=30","K=1000, T=25, prior_sigma=0.0001, num_transformations=30","K=1000, T=25, prior_sigma=0.001, num_transformations=30","K=1000, T=25, prior_sigma=0.01, num_transformations=30","K=1000, T=25, prior_sigma=0.1, num_transformations=30","K=1000, T=25, prior_sigma=1, num_transformations=30","K=1000, T=25, prior_sigma=10, num_transformations=30"
Accuracy,0.9055,0.9055,0.9055,0.9055,0.9056,0.9055,0.9055,0.904,0.9055,0.9055,0.9055,0.9052,0.9054,0.9068,0.9085,0.9067,0.9054,0.9054,0.9054,0.9065,0.9096,0.9103,0.9058,0.8999
Entropy,0.1690618097782135,0.16906321048736572,0.16906677186489105,0.16911059617996216,0.16944178938865662,0.1727226823568344,0.19857703149318695,0.28349077701568604,0.16906188428401947,0.16905809938907623,0.16903191804885864,0.16917547583580017,0.1714058518409729,0.18979880213737488,0.26125627756118774,0.3257562518119812,0.1690722554922104,0.16909454762935638,0.16924279928207397,0.17027564346790314,0.18200576305389404,0.25121811032295227,0.3566039800643921,0.4195849597454071
LPD,-0.2887873947620392,-0.2887888252735138,-0.28879982233047485,-0.28877416253089905,-0.28854572772979736,-0.2866174876689911,-0.275484174489975,-0.268881618976593,-0.2887799143791199,-0.2887697219848633,-0.28869980573654175,-0.2884095311164856,-0.2851269543170929,-0.26881781220436096,-0.2532057464122772,-0.26291224360466003,-0.2887685000896454,-0.28861621022224426,-0.28704652190208435,-0.27985575795173645,-0.26505205035209656,-0.2487306147813797,-0.26974931359291077,-0.29462847113609314
ECE,0.030694017186760902,0.030692890286445618,0.030691878870129585,0.030702823773026466,0.030438195914030075,0.029343752190470695,0.01932895928621292,0.01006265264004469,0.03069283813238144,0.03116023913025856,0.03075115941464901,0.031039323657751083,0.029969597235322,0.020948506891727448,0.006327729672193527,0.025906164199113846,0.030786613002419472,0.030704744160175323,0.030799534171819687,0.029032785445451736,0.022146137431263924,0.005895628593862057,0.03462168201804161,0.04981634020805359
MCE,0.2711097002029419,0.27112945914268494,0.27093952894210815,0.27077430486679077,0.27010011672973633,0.266935795545578,0.09390854835510254,0.08246850967407227,0.27116894721984863,0.2714460492134094,0.27207478880882263,0.27440670132637024,0.2915678918361664,0.2960781455039978,0.025641024112701416,0.23171401023864746,0.2708347737789154,0.270609587430954,0.27392399311065674,0.2859991192817688,0.22114038467407227,0.05087524652481079,0.08685410022735596,0.11467742919921875
OOD,0.3753397762775421,0.3753369450569153,0.3753529191017151,0.3755347430706024,0.37795892357826233,0.40071651339530945,0.5491891503334045,0.8838117718696594,0.37533247470855713,0.37533339858055115,0.37551018595695496,0.3783895671367645,0.40493300557136536,0.5773167610168457,0.979063868522644,1.181642770767212,0.37537020444869995,0.3757189214229584,0.37897688150405884,0.406557559967041,0.5692119002342224,1.0018657445907593,1.217678189277649,1.222116231918335
