,"K=10, T=1, prior_sigma=10, num_transformations=30","K=10, T=1, prior_sigma=1, num_transformations=30","K=10, T=1, prior_sigma=0.1, num_transformations=30","K=10, T=1, prior_sigma=0.01, num_transformations=30","K=10, T=1, prior_sigma=0.001, num_transformations=30","K=10, T=1, prior_sigma=0.0001, num_transformations=30","K=10, T=1, prior_sigma=1e-05, num_transformations=30","K=10, T=1, prior_sigma=1e-06, num_transformations=30","K=100, T=1, prior_sigma=10, num_transformations=30","K=100, T=1, prior_sigma=1, num_transformations=30","K=100, T=1, prior_sigma=0.1, num_transformations=30","K=100, T=1, prior_sigma=0.01, num_transformations=30","K=100, T=1, prior_sigma=0.001, num_transformations=30","K=100, T=1, prior_sigma=0.0001, num_transformations=30","K=100, T=1, prior_sigma=1e-05, num_transformations=30","K=100, T=1, prior_sigma=1e-06, num_transformations=30","K=1000, T=1, prior_sigma=10, num_transformations=30","K=1000, T=1, prior_sigma=1, num_transformations=30","K=1000, T=1, prior_sigma=0.1, num_transformations=30","K=1000, T=1, prior_sigma=0.01, num_transformations=30","K=1000, T=1, prior_sigma=0.001, num_transformations=30","K=1000, T=1, prior_sigma=0.0001, num_transformations=30","K=1000, T=1, prior_sigma=1e-05, num_transformations=30","K=1000, T=1, prior_sigma=1e-06, num_transformations=30"
Accuracy,0.99,0.99,0.9898,0.9895,0.9894,0.9894,0.9894,0.9894,0.9917,0.9918,0.9912,0.9903,0.9897,0.9894,0.9894,0.9894,0.9924,0.9925,0.9922,0.9918,0.9906,0.9897,0.9894,0.9894
Entropy,0.022717954590916634,0.02272023633122444,0.02274724282324314,0.023032955825328827,0.023220384493470192,0.023248901590704918,0.023252706974744797,0.02325316332280636,0.020645588636398315,0.020656032487750053,0.0208510160446167,0.021807139739394188,0.02290014550089836,0.023218117654323578,0.023249538615345955,0.02325350046157837,0.025446046143770218,0.025607705116271973,0.02394268661737442,0.021129528060555458,0.021639756858348846,0.022850729525089264,0.023200804367661476,0.023244310170412064
LPD,-0.029516540467739105,-0.029527980834245682,-0.029633091762661934,-0.03024425357580185,-0.030639495700597763,-0.03071100451052189,-0.03071770630776882,-0.030716948211193085,-0.024246880784630775,-0.024305321276187897,-0.025009222328662872,-0.027557741850614548,-0.030017772689461708,-0.030644051730632782,-0.030715709552168846,-0.030717354267835617,-0.022174445912241936,-0.02208860032260418,-0.02171573042869568,-0.02356146089732647,-0.027438189834356308,-0.03002399578690529,-0.030634645372629166,-0.030707750469446182
ECE,0.0036444831639528275,0.0037655294872820377,0.0036913491785526276,0.0032825497910380363,0.0035910499282181263,0.003597536589950323,0.003595401532948017,0.003595269750803709,0.002154237823560834,0.001858551986515522,0.002345549874007702,0.0032907379791140556,0.0031068609096109867,0.0031662413384765387,0.003597624134272337,0.0035952439066022635,0.0010943720117211342,0.0014354039449244738,0.001089378958567977,0.0018764286069199443,0.0034595197066664696,0.0029610886704176664,0.00317200249992311,0.003599753137677908
MCE,0.3724411725997925,0.37471336126327515,0.3898857533931732,0.3910534977912903,0.1996428370475769,0.18894171714782715,0.18890446424484253,0.18890756368637085,0.6108489036560059,0.0630301833152771,0.20220306515693665,0.16807597875595093,0.6182072162628174,0.15705174207687378,0.18893343210220337,0.18894165754318237,0.3789688050746918,0.19830483198165894,0.5294148921966553,0.12497848272323608,0.3964993953704834,0.17402952909469604,0.15743976831436157,0.1890586018562317
OOD,1.2467219829559326,1.2465232610702515,1.2430520057678223,1.22726571559906,1.2184579372406006,1.2170186042785645,1.2168511152267456,1.2168089151382446,1.1774331331253052,1.180649757385254,1.1999804973602295,1.2170835733413696,1.217227816581726,1.2168238162994385,1.2167633771896362,1.2168471813201904,1.0948761701583862,1.1022624969482422,1.1347488164901733,1.1807154417037964,1.2139828205108643,1.2166094779968262,1.2168537378311157,1.21677827835083
