,"K=10, T=200, prior_sigma=1e-06, num_transformations=10","K=10, T=200, prior_sigma=1e-05, num_transformations=10","K=10, T=200, prior_sigma=0.0001, num_transformations=10","K=10, T=200, prior_sigma=0.001, num_transformations=10","K=10, T=200, prior_sigma=0.01, num_transformations=10","K=10, T=200, prior_sigma=0.1, num_transformations=10","K=10, T=200, prior_sigma=1, num_transformations=10","K=10, T=200, prior_sigma=10, num_transformations=10","K=100, T=20, prior_sigma=1e-06, num_transformations=10","K=100, T=20, prior_sigma=1e-05, num_transformations=10","K=100, T=20, prior_sigma=0.0001, num_transformations=10","K=100, T=20, prior_sigma=0.001, num_transformations=10","K=100, T=20, prior_sigma=0.01, num_transformations=10","K=100, T=20, prior_sigma=0.1, num_transformations=10","K=100, T=20, prior_sigma=1, num_transformations=10","K=100, T=20, prior_sigma=10, num_transformations=10","K=1000, T=2, prior_sigma=1e-06, num_transformations=10","K=1000, T=2, prior_sigma=1e-05, num_transformations=10","K=1000, T=2, prior_sigma=0.0001, num_transformations=10","K=1000, T=2, prior_sigma=0.001, num_transformations=10","K=1000, T=2, prior_sigma=0.01, num_transformations=10","K=1000, T=2, prior_sigma=0.1, num_transformations=10","K=1000, T=2, prior_sigma=1, num_transformations=10","K=1000, T=2, prior_sigma=10, num_transformations=10","K=10, T=200, prior_sigma=1e-06, num_transformations=40","K=10, T=200, prior_sigma=1e-05, num_transformations=40","K=10, T=200, prior_sigma=0.0001, num_transformations=40","K=10, T=200, prior_sigma=0.001, num_transformations=40","K=10, T=200, prior_sigma=0.01, num_transformations=40","K=10, T=200, prior_sigma=0.1, num_transformations=40","K=10, T=200, prior_sigma=1, num_transformations=40","K=10, T=200, prior_sigma=10, num_transformations=40","K=100, T=20, prior_sigma=1e-06, num_transformations=40","K=100, T=20, prior_sigma=1e-05, num_transformations=40","K=100, T=20, prior_sigma=0.0001, num_transformations=40","K=100, T=20, prior_sigma=0.001, num_transformations=40","K=100, T=20, prior_sigma=0.01, num_transformations=40","K=100, T=20, prior_sigma=0.1, num_transformations=40","K=100, T=20, prior_sigma=1, num_transformations=40","K=100, T=20, prior_sigma=10, num_transformations=40","K=1000, T=2, prior_sigma=1e-06, num_transformations=40","K=1000, T=2, prior_sigma=1e-05, num_transformations=40","K=1000, T=2, prior_sigma=0.0001, num_transformations=40","K=1000, T=2, prior_sigma=0.001, num_transformations=40","K=1000, T=2, prior_sigma=0.01, num_transformations=40","K=1000, T=2, prior_sigma=0.1, num_transformations=40","K=1000, T=2, prior_sigma=1, num_transformations=40","K=1000, T=2, prior_sigma=10, num_transformations=40"
Accuracy,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9895,0.9899,0.9894,0.9894,0.9894,0.9894,0.9895,0.9902,0.9912,0.9913,0.9894,0.9894,0.9895,0.9902,0.9914,0.9921,0.992,0.9924,0.9894,0.9894,0.9894,0.9894,0.9894,0.9894,0.9895,0.9898,0.9894,0.9894,0.9893,0.9893,0.9895,0.9903,0.9911,0.9912,0.9894,0.9894,0.9895,0.9902,0.9915,0.9913,0.9922,0.9465
Entropy,0.023252468556165695,0.023251866921782494,0.02325253002345562,0.02325504459440708,0.023308798670768738,0.02379845269024372,0.02779661864042282,0.03964664414525032,0.02325381524860859,0.02324976772069931,0.02324209176003933,0.02324964478611946,0.02348192408680916,0.025686049833893776,0.03479311615228653,0.039799559861421585,0.023253703489899635,0.023238137364387512,0.02308078296482563,0.0223690178245306,0.022725272923707962,0.03321503847837448,0.03722389414906502,0.036909110844135284,0.023253515362739563,0.023252436891198158,0.023251105099916458,0.023253770545125008,0.023300347849726677,0.02380448207259178,0.027831096202135086,0.039801664650440216,0.023249423131346703,0.02324840798974037,0.02324162796139717,0.023265423253178596,0.02347995713353157,0.025691768154501915,0.034110214561223984,0.039711665362119675,0.023255053907632828,0.023237330839037895,0.02306986413896084,0.02235148288309574,0.02646489255130291,0.048339493572711945,0.039541978389024734,0.41450536251068115
LPD,-0.030717846006155014,-0.03071364015340805,-0.030717751011252403,-0.030717534944415092,-0.030700622126460075,-0.030544061213731766,-0.029569894075393677,-0.029692118987441063,-0.03072061389684677,-0.03071770630776882,-0.030710900202393532,-0.03066289983689785,-0.030168043449521065,-0.027558468282222748,-0.025601213797926903,-0.025895480066537857,-0.03071296401321888,-0.03067883290350437,-0.03033546358346939,-0.028302961960434914,-0.024239514023065567,-0.023139862343668938,-0.02405650168657303,-0.023898491635918617,-0.03071652166545391,-0.030716819688677788,-0.030717846006155014,-0.030716542154550552,-0.030696926638484,-0.030544204637408257,-0.029554864391684532,-0.029744625091552734,-0.030715322121977806,-0.030717510730028152,-0.030723808333277702,-0.030661605298519135,-0.03016469068825245,-0.027567852288484573,-0.02553887479007244,-0.02588004618883133,-0.0307137630879879,-0.030681831762194633,-0.030313828960061073,-0.0282761063426733,-0.024543464183807373,-0.02639426849782467,-0.02486306242644787,-0.21628114581108093
ECE,0.0035955412313342094,0.00359768932685256,0.0035963673144578934,0.003735290840268135,0.0036191605031490326,0.0036126808263361454,0.0016543937381356955,0.003333939239382744,0.0035958215594291687,0.0037360915448516607,0.0036973077803850174,0.0037489188835024834,0.0030670114792883396,0.0022812809329479933,0.0027559015434235334,0.003932433668524027,0.0035961358807981014,0.003460576757788658,0.003090278711169958,0.0030794115737080574,0.0014935539802536368,0.003015707014128566,0.00392723036929965,0.004208649508655071,0.0035958949010819197,0.003595991525799036,0.0035962210968136787,0.0036352104507386684,0.0036203714553266764,0.0036114363465458155,0.0016418758314102888,0.003276500850915909,0.0035961754620075226,0.0034975497983396053,0.00373658025637269,0.003444491419941187,0.003064630087465048,0.00247413688339293,0.0023987572640180588,0.003787000197917223,0.0034953069407492876,0.0034610198345035315,0.003095553955063224,0.0030510565266013145,0.0009040137520059943,0.006255428306758404,0.0045585958287119865,0.07146990299224854
MCE,0.18888729810714722,0.18895500898361206,0.18897074460983276,0.1994038224220276,0.19896596670150757,0.1753450632095337,0.14131206274032593,0.3781048655509949,0.18892723321914673,0.19933104515075684,0.18913239240646362,0.1995377540588379,0.6185154914855957,0.6126331090927124,0.20703694224357605,0.7044230699539185,0.18886882066726685,0.17801642417907715,0.17497771978378296,0.6080619096755981,0.047062456607818604,0.3743807077407837,0.364449143409729,0.3594525456428528,0.1889151930809021,0.18892574310302734,0.1889667510986328,0.19937759637832642,0.19902926683425903,0.17528724670410156,0.14168354868888855,0.3773620128631592,0.18896299600601196,0.18894505500793457,0.19952261447906494,0.1882765293121338,0.619375467300415,0.6133960485458374,0.2065926492214203,0.7154256105422974,0.1888996958732605,0.1780831217765808,0.175062358379364,0.6100078821182251,0.07297563552856445,0.1468600630760193,0.12873858213424683,0.2047363519668579
OOD,1.2168434858322144,1.2168831825256348,1.2168630361557007,1.2169605493545532,1.2176753282546997,1.2225419282913208,1.2557905912399292,1.3357487916946411,1.2167348861694336,1.2167023420333862,1.216460943222046,1.2164005041122437,1.219037652015686,1.2409934997558594,1.3026210069656372,1.3250945806503296,1.2166218757629395,1.2165026664733887,1.2157355546951294,1.2161542177200317,1.206068515777588,1.2249975204467773,1.2234638929367065,1.2224818468093872,1.216806411743164,1.216786503791809,1.216823935508728,1.2170195579528809,1.2178200483322144,1.2224764823913574,1.2563542127609253,1.3338375091552734,1.2167547941207886,1.2165942192077637,1.216422438621521,1.2165409326553345,1.2189433574676514,1.2412172555923462,1.2991509437561035,1.3286925554275513,1.2166000604629517,1.2163885831832886,1.215937614440918,1.2175666093826294,1.21458101272583,1.3298799991607666,1.2257170677185059,1.3601531982421875
