,"K=10, T=1, prior_sigma=10, num_transformations=10","K=10, T=1, prior_sigma=1, num_transformations=10","K=10, T=1, prior_sigma=0.1, num_transformations=10","K=10, T=1, prior_sigma=0.01, num_transformations=10","K=10, T=1, prior_sigma=0.001, num_transformations=10","K=10, T=1, prior_sigma=0.0001, num_transformations=10","K=10, T=1, prior_sigma=1e-05, num_transformations=10","K=10, T=1, prior_sigma=1e-06, num_transformations=10","K=100, T=1, prior_sigma=10, num_transformations=10","K=100, T=1, prior_sigma=1, num_transformations=10","K=100, T=1, prior_sigma=0.1, num_transformations=10","K=100, T=1, prior_sigma=0.01, num_transformations=10","K=100, T=1, prior_sigma=0.001, num_transformations=10","K=100, T=1, prior_sigma=0.0001, num_transformations=10","K=100, T=1, prior_sigma=1e-05, num_transformations=10","K=100, T=1, prior_sigma=1e-06, num_transformations=10","K=1000, T=1, prior_sigma=10, num_transformations=10","K=1000, T=1, prior_sigma=1, num_transformations=10","K=1000, T=1, prior_sigma=0.1, num_transformations=10","K=1000, T=1, prior_sigma=0.01, num_transformations=10","K=1000, T=1, prior_sigma=0.001, num_transformations=10","K=1000, T=1, prior_sigma=0.0001, num_transformations=10","K=1000, T=1, prior_sigma=1e-05, num_transformations=10","K=1000, T=1, prior_sigma=1e-06, num_transformations=10","K=10, T=1, prior_sigma=10, num_transformations=40","K=10, T=1, prior_sigma=1, num_transformations=40","K=10, T=1, prior_sigma=0.1, num_transformations=40","K=10, T=1, prior_sigma=0.01, num_transformations=40","K=10, T=1, prior_sigma=0.001, num_transformations=40","K=10, T=1, prior_sigma=0.0001, num_transformations=40","K=10, T=1, prior_sigma=1e-05, num_transformations=40","K=10, T=1, prior_sigma=1e-06, num_transformations=40","K=100, T=1, prior_sigma=10, num_transformations=40","K=100, T=1, prior_sigma=1, num_transformations=40","K=100, T=1, prior_sigma=0.1, num_transformations=40","K=100, T=1, prior_sigma=0.01, num_transformations=40","K=100, T=1, prior_sigma=0.001, num_transformations=40","K=100, T=1, prior_sigma=0.0001, num_transformations=40","K=100, T=1, prior_sigma=1e-05, num_transformations=40","K=100, T=1, prior_sigma=1e-06, num_transformations=40","K=1000, T=1, prior_sigma=10, num_transformations=40","K=1000, T=1, prior_sigma=1, num_transformations=40","K=1000, T=1, prior_sigma=0.1, num_transformations=40","K=1000, T=1, prior_sigma=0.01, num_transformations=40","K=1000, T=1, prior_sigma=0.001, num_transformations=40","K=1000, T=1, prior_sigma=0.0001, num_transformations=40","K=1000, T=1, prior_sigma=1e-05, num_transformations=40","K=1000, T=1, prior_sigma=1e-06, num_transformations=40"
Accuracy,0.9897,0.9897,0.9897,0.9895,0.9894,0.9894,0.9894,0.9894,0.9917,0.9916,0.9911,0.9906,0.9896,0.9894,0.9894,0.9894,0.9925,0.9922,0.9918,0.9916,0.9907,0.9896,0.9894,0.9894,0.9897,0.9897,0.9898,0.9895,0.9894,0.9894,0.9894,0.9894,0.9917,0.9917,0.9911,0.9906,0.9896,0.9894,0.9894,0.9894,0.9774,0.981,0.9919,0.9916,0.9907,0.9896,0.9894,0.9894
Entropy,0.02366734854876995,0.02364533394575119,0.023500259965658188,0.023288827389478683,0.023253029212355614,0.023253638297319412,0.023253779858350754,0.02325243502855301,0.020579546689987183,0.020568782463669777,0.020594263449311256,0.021533025428652763,0.02276618592441082,0.02319423109292984,0.023245777934789658,0.02325144223868847,0.028803933411836624,0.02928747795522213,0.028691329061985016,0.023167934268712997,0.021841131150722504,0.02291487157344818,0.023213880136609077,0.023249991238117218,0.023659639060497284,0.023636749014258385,0.023498278111219406,0.02330334112048149,0.02325402945280075,0.023251574486494064,0.023250842466950417,0.023251892998814583,0.02073393575847149,0.02062208577990532,0.020709151402115822,0.021536629647016525,0.022813282907009125,0.023193785920739174,0.02324681729078293,0.023251445963978767,0.10654516518115997,0.0979691594839096,0.04062424972653389,0.02705845795571804,0.021833574399352074,0.022935617715120316,0.023211458697915077,0.02325047180056572
LPD,-0.029961461201310158,-0.029976647347211838,-0.030110908672213554,-0.030491676181554794,-0.03068344108760357,-0.030711377039551735,-0.030715856701135635,-0.030717387795448303,-0.024732304736971855,-0.024723298847675323,-0.02501126192510128,-0.027251610532402992,-0.02983756549656391,-0.030622463673353195,-0.030708184465765953,-0.030717406421899796,-0.022166810929775238,-0.02235438860952854,-0.022331563755869865,-0.023405473679304123,-0.02718704752624035,-0.029999813064932823,-0.030634550377726555,-0.03071151115000248,-0.029961656779050827,-0.029978008940815926,-0.03011341765522957,-0.03048008680343628,-0.03068641945719719,-0.03071107715368271,-0.0307175125926733,-0.030718592926859856,-0.024577628821134567,-0.024604804813861847,-0.024946367368102074,-0.02722804807126522,-0.0298447385430336,-0.030624032020568848,-0.03070765919983387,-0.030715342611074448,-0.07275188714265823,-0.0680447444319725,-0.024829339236021042,-0.02359151467680931,-0.027180174365639687,-0.030002104118466377,-0.030632508918642998,-0.030711745843291283
ECE,0.0029688675422221422,0.0029764582868665457,0.002990042557939887,0.003637618152424693,0.0036514392122626305,0.003595978021621704,0.003594890469685197,0.003595963818952441,0.0024731082376092672,0.0025914206635206938,0.0022674414794892073,0.0031863246113061905,0.0032830266281962395,0.0036140296142548323,0.003597207833081484,0.0035951538011431694,0.0023959847167134285,0.002274590777233243,0.0016773188253864646,0.0009574559517204762,0.0033228653483092785,0.003137309104204178,0.003465395886451006,0.0035954744089394808,0.0029712046962231398,0.002978675300255418,0.003141751978546381,0.0034326077438890934,0.0036520506255328655,0.003734744619578123,0.0035973594058305025,0.0035961116664111614,0.00263592298142612,0.00272906175814569,0.0021562688052654266,0.0029887771233916283,0.00326519669033587,0.0035751229152083397,0.003597168019041419,0.0035968036390841007,0.012137314304709435,0.011623353697359562,0.004624020773917437,0.0017481779213994741,0.0032366523519158363,0.00313252629712224,0.003406475530937314,0.003456864971667528
MCE,0.21063759922981262,0.20952826738357544,0.28913530707359314,0.275116503238678,0.19935041666030884,0.18891113996505737,0.18893170356750488,0.18894082307815552,0.3435837924480438,0.14588886499404907,0.39510291814804077,0.607601523399353,0.1621968150138855,0.18948811292648315,0.1890152096748352,0.1889541745185852,0.29771170020103455,0.11218789219856262,0.6105087995529175,0.3697308599948883,0.39853325486183167,0.13487648963928223,0.17817682027816772,0.18895739316940308,0.21116575598716736,0.2100244164466858,0.2891290783882141,0.27574294805526733,0.19940322637557983,0.19939279556274414,0.18894094228744507,0.18891644477844238,0.1468883752822876,0.3577950596809387,0.3746432065963745,0.6070151329040527,0.6143476963043213,0.17855006456375122,0.1890239715576172,0.18896150588989258,0.2779529094696045,0.14112472534179688,0.11471819877624512,0.3918542265892029,0.398550420999527,0.1234821081161499,0.16823810338974,0.17806470394134521
OOD,1.2245266437530518,1.2244300842285156,1.2230108976364136,1.219239592552185,1.2172292470932007,1.216914176940918,1.2168926000595093,1.216808795928955,1.1864601373672485,1.1874444484710693,1.1916229724884033,1.2072252035140991,1.214538812637329,1.216391921043396,1.2167259454727173,1.2167776823043823,1.1345502138137817,1.131300687789917,1.1675411462783813,1.1797956228256226,1.2099603414535522,1.2147611379623413,1.2163327932357788,1.2166104316711426,1.224526047706604,1.2244439125061035,1.2231894731521606,1.2193846702575684,1.2172362804412842,1.216886281967163,1.2167142629623413,1.216808557510376,1.1867955923080444,1.1902517080307007,1.1930660009384155,1.2087066173553467,1.2141278982162476,1.2162474393844604,1.2166473865509033,1.2167553901672363,1.30892813205719,1.251306414604187,1.2560349702835083,1.1880301237106323,1.210386872291565,1.2153266668319702,1.2163275480270386,1.216441035270691
