,prior_sigma=1e-06,prior_sigma=1e-05,prior_sigma=0.0001,prior_sigma=0.001,prior_sigma=0.01,prior_sigma=0.1,prior_sigma=1,prior_sigma=10
Accuracy,0.9894,0.9894,0.9893,0.9894,0.9892,0.9894,0.9892,0.9894
Entropy,0.023251887410879135,0.023290518671274185,0.02343614585697651,0.02384701557457447,0.024991421028971672,0.027679692953824997,0.03616466000676155,0.060371823608875275
LPD,-0.03070816956460476,-0.030742837116122246,-0.030783962458372116,-0.030564598739147186,-0.03041122667491436,-0.030200157314538956,-0.030801311135292053,-0.034436602145433426
ECE,0.0034962003119289875,0.0036880176048725843,0.003503930289298296,0.0036664551589637995,0.0028745033778250217,0.002217304427176714,0.002322855405509472,0.0054451460018754005
MCE,0.18893200159072876,0.18857091665267944,0.38382256031036377,0.15346860885620117,0.3881925940513611,0.3770250082015991,0.466776043176651,0.1559692919254303
OOD,1.216802954673767,1.2170219421386719,1.2178089618682861,1.2222782373428345,1.2391629219055176,1.2745006084442139,1.3781288862228394,1.523602843284607
