,prior_sigma=1e-06,prior_sigma=1e-05,prior_sigma=0.0001,prior_sigma=0.001,prior_sigma=0.01,prior_sigma=0.1,prior_sigma=1,prior_sigma=10
Accuracy,0.9054,0.9053,0.9054,0.9053,0.9054,0.905,0.9052,0.9056
Entropy,0.1690865159034729,0.16911940276622772,0.16920243203639984,0.1700323224067688,0.17180195450782776,0.17481590807437897,0.18007849156856537,0.18657101690769196
LPD,-0.2888077199459076,-0.28877347707748413,-0.2886911928653717,-0.2882521152496338,-0.28728538751602173,-0.2863023281097412,-0.2848696708679199,-0.2852436900138855
ECE,0.030784036964178085,0.030963139608502388,0.030727382749319077,0.03062690980732441,0.030018959194421768,0.02929278276860714,0.027734551578760147,0.026007628068327904
MCE,0.27098608016967773,0.27051544189453125,0.27157413959503174,0.2674289345741272,0.27356037497520447,0.26167261600494385,0.25592660903930664,0.2669082283973694
OOD,0.37536823749542236,0.3759368062019348,0.37830251455307007,0.38948264718055725,0.42236199975013733,0.4909808337688446,0.6124212741851807,0.6804424524307251
