         ,"K=10, T=1, prior_sigma=10" ,"K=10, T=1, prior_sigma=1" ,"K=10, T=1, prior_sigma=0.1" ,"K=10, T=1, prior_sigma=0.01" ,"K=10, T=1, prior_sigma=0.001" ,"K=10, T=1, prior_sigma=0.0001" ,"K=10, T=1, prior_sigma=1e-05" ,"K=10, T=1, prior_sigma=1e-06" ,"K=100, T=1, prior_sigma=10" ,"K=100, T=1, prior_sigma=1" ,"K=100, T=1, prior_sigma=0.1" ,"K=100, T=1, prior_sigma=0.01" ,"K=100, T=1, prior_sigma=0.001" ,"K=100, T=1, prior_sigma=0.0001" ,"K=100, T=1, prior_sigma=1e-05" ,"K=100, T=1, prior_sigma=1e-06" ,"K=1000, T=1, prior_sigma=10" ,"K=1000, T=1, prior_sigma=1" ,"K=1000, T=1, prior_sigma=0.1" ,"K=1000, T=1, prior_sigma=0.01" ,"K=1000, T=1, prior_sigma=0.001" ,"K=1000, T=1, prior_sigma=0.0001" ,"K=1000, T=1, prior_sigma=1e-05" ,"K=1000, T=1, prior_sigma=1e-06"
Accuracy ,0.9047                      ,0.9046                     ,0.9047                       ,0.905                         ,0.9049                         ,0.9054                          ,0.9055                         ,0.9055                         ,0.9094                       ,0.9094                      ,0.9097                        ,0.9094                         ,0.9076                          ,0.9059                           ,0.9052                          ,0.9054                          ,0.9099                        ,0.91                         ,0.9097                         ,0.9091                          ,0.9101                           ,0.908                             ,0.9056                           ,0.9052
Entropy  ,0.16994792222976685         ,0.16994333267211914        ,0.16989652812480927          ,0.16959887742996216           ,0.16916410624980927            ,0.16907785832881927             ,0.16906307637691498            ,0.1690625697374344             ,0.16136877238750458          ,0.16136203706264496         ,0.1613585352897644            ,0.1615503579378128             ,0.163935586810112               ,0.16774339973926544              ,0.16888894140720367             ,0.16903957724571228             ,0.1942220777273178            ,0.19377310574054718          ,0.19032268226146698            ,0.17482760548591614             ,0.16057485342025757              ,0.1647232323884964                ,0.16851428151130676              ,0.1690577119588852
LPD      ,-0.2852349877357483         ,-0.28523683547973633       ,-0.28525853157043457         ,-0.28554874658584595          ,-0.2872820198535919            ,-0.28854110836982727            ,-0.2887616753578186            ,-0.28878524899482727           ,-0.2755662500858307          ,-0.27556267380714417        ,-0.2755334973335266           ,-0.2760283946990967            ,-0.27968913316726685            ,-0.2853665351867676              ,-0.2882685363292694             ,-0.2887246608734131             ,-0.2572175860404968           ,-0.2573486864566803          ,-0.25847530364990234           ,-0.2646523416042328             ,-0.273851603269577               ,-0.2791443169116974               ,-0.2854481339454651              ,-0.2882509231567383
ECE      ,0.030766092240810394        ,0.030867531895637512       ,0.030791107565164566         ,0.03084178827702999           ,0.031102966517210007           ,0.03070683404803276             ,0.030691709369421005           ,0.03069259412586689            ,0.029249880462884903         ,0.02925376035273075         ,0.028972679749131203          ,0.029316643252968788           ,0.030439097434282303            ,0.030736731365323067             ,0.0309811532497406              ,0.03086746484041214             ,0.01651371642947197           ,0.016532916575670242         ,0.018328486010432243           ,0.02389395423233509             ,0.02917325310409069              ,0.03010477125644684               ,0.030898891389369965             ,0.031105060130357742
MCE      ,0.2638656198978424          ,0.26388028264045715        ,0.2640526592731476           ,0.16441313922405243           ,0.2704553008079529             ,0.271426260471344               ,0.2712029218673706             ,0.271168053150177              ,0.2790546417236328           ,0.2772372364997864          ,0.2809971272945404            ,0.10853409767150879            ,0.2979990243911743              ,0.28976666927337646              ,0.2746656835079193              ,0.2715694010257721              ,0.2820861339569092            ,0.2836592197418213           ,0.20982211828231812            ,0.0954740047454834              ,0.2268194556236267               ,0.28038644790649414               ,0.28186655044555664              ,0.272041380405426
OOD      ,0.37897688150405884         ,0.3789704144001007         ,0.3788551092147827           ,0.3780263066291809            ,0.37602752447128296            ,0.3753914535045624              ,0.37534773349761963            ,0.3753429055213928             ,0.38264521956443787          ,0.38270941376686096         ,0.38297396898269653           ,0.3841637969017029             ,0.38062578439712524             ,0.37617093324661255              ,0.37544775009155273             ,0.37538444995880127             ,0.6826269030570984            ,0.6806766390800476           ,0.6618369221687317             ,0.5566700100898743              ,0.4095636010169983               ,0.38329944014549255               ,0.37735453248023987              ,0.37584686279296875
