         ,"K=10, T=2500"       ,"K=100, T=250"       ,"K=1000, T=25"
Accuracy ,0.9052               ,0.9076               ,0.9077
Entropy  ,0.17259055376052856  ,0.19591984152793884  ,0.28630566596984863
LPD      ,-0.2867007255554199  ,-0.26768192648887634 ,-0.2546703517436981
ECE      ,0.029637763276696205 ,0.01972133107483387  ,0.014455564320087433
MCE      ,0.278076171875       ,0.28543779253959656  ,0.13559545576572418
OOD      ,0.4008099138736725   ,0.5782578587532043   ,1.0063618421554565
