         ,"K=10, T=200, prior_sigma=10" ,"K=10, T=200, prior_sigma=1" ,"K=10, T=200, prior_sigma=0.1" ,"K=10, T=200, prior_sigma=0.01" ,"K=10, T=200, prior_sigma=0.001" ,"K=10, T=200, prior_sigma=0.0001" ,"K=10, T=200, prior_sigma=1e-05" ,"K=10, T=200, prior_sigma=1e-06" ,"K=100, T=20, prior_sigma=10" ,"K=100, T=20, prior_sigma=1" ,"K=100, T=20, prior_sigma=0.1" ,"K=100, T=20, prior_sigma=0.01" ,"K=100, T=20, prior_sigma=0.001" ,"K=100, T=20, prior_sigma=0.0001" ,"K=100, T=20, prior_sigma=1e-05" ,"K=100, T=20, prior_sigma=1e-06" ,"K=1000, T=2, prior_sigma=10" ,"K=1000, T=2, prior_sigma=1" ,"K=1000, T=2, prior_sigma=0.1" ,"K=1000, T=2, prior_sigma=0.01" ,"K=1000, T=2, prior_sigma=0.001" ,"K=1000, T=2, prior_sigma=0.0001" ,"K=1000, T=2, prior_sigma=1e-05" ,"K=1000, T=2, prior_sigma=1e-06"
Accuracy ,0.9896                        ,0.9896                       ,0.9892                         ,0.9894                          ,0.9894                           ,0.9894                            ,0.9894                           ,0.9894                           ,0.9913                        ,0.9908                       ,0.9904                         ,0.9894                          ,0.9894                           ,0.9894                            ,0.9894                           ,0.9894                           ,0.9923                        ,0.9923                       ,0.9922                         ,0.9916                          ,0.99                             ,0.9894                            ,0.9894                           ,0.9894
Entropy  ,0.03956357017159462           ,0.02775014005601406          ,0.02377048321068287            ,0.023296069353818893            ,0.023251155391335487             ,0.023250749334692955              ,0.02325214259326458              ,0.023252492770552635             ,0.040887925773859024          ,0.03647499531507492          ,0.026275215670466423           ,0.023552462458610535            ,0.023278377950191498             ,0.023253167048096657              ,0.023252902552485466             ,0.023253146559000015             ,0.037174396216869354          ,0.0367591492831707           ,0.03297958895564079            ,0.02357269451022148             ,0.022436700761318207             ,0.023067709058523178              ,0.023229489102959633             ,0.02324967458844185
LPD      ,-0.029480449855327606         ,-0.029376259073615074        ,-0.030496764928102493          ,-0.030688848346471786           ,-0.030709944665431976            ,-0.030713390558958054             ,-0.030714988708496094            ,-0.030715441331267357            ,-0.02560819685459137          ,-0.025358125567436218        ,-0.027374669909477234          ,-0.03015129081904888            ,-0.030635863542556763            ,-0.030701493844389915             ,-0.030713725835084915            ,-0.030714761465787888            ,-0.023672189563512802         ,-0.023366186767816544        ,-0.022350717335939407          ,-0.023969629779458046           ,-0.028331317007541656            ,-0.03033873438835144              ,-0.0306767076253891              ,-0.030712822452187538
ECE      ,0.0036934351082891226         ,0.00205411110073328          ,0.0034640843514353037          ,0.0035451471339911222           ,0.003597711445763707             ,0.0035971440374851227             ,0.0035966362338513136            ,0.0035959791857749224            ,0.004365378990769386          ,0.0034122993238270283        ,0.0020317998714745045          ,0.003055428620427847            ,0.0032711466774344444            ,0.0034958473406732082             ,0.003595286048948765             ,0.0035954611375927925            ,0.004156920127570629          ,0.003944738768041134         ,0.0029627815820276737          ,0.0010874446015805006           ,0.0030572665855288506            ,0.00326613150537014               ,0.0034208353608846664            ,0.003495644312351942
MCE      ,0.36920538544654846           ,0.3751826584339142           ,0.3841090798377991             ,0.17743486166000366             ,0.18885010480880737              ,0.18890690803527832               ,0.18891000747680664              ,0.18890780210494995              ,0.2940407991409302            ,0.38242587447166443          ,0.6171212792396545             ,0.6195821762084961              ,0.1767568588256836               ,0.18891233205795288               ,0.18889957666397095              ,0.18889427185058594              ,0.3589085042476654            ,0.11846420168876648          ,0.39044177532196045            ,0.07207363843917847             ,0.38843637704849243              ,0.6212420463562012                ,0.18865960836410522              ,0.1889657974243164
OOD      ,1.3254073858261108            ,1.2526030540466309           ,1.2215980291366577             ,1.2174206972122192              ,1.2169109582901                  ,1.2168477773666382                ,1.2168322801589966               ,1.2168292999267578               ,1.32308828830719              ,1.3040194511413574           ,1.2417950630187988             ,1.21884024143219                ,1.2169431447982788               ,1.2167818546295166                ,1.2167861461639404               ,1.2167959213256836               ,1.2492042779922485            ,1.2496516704559326           ,1.2343385219573975             ,1.2126517295837402              ,1.217125654220581                ,1.216372013092041                 ,1.2166117429733276               ,1.2166728973388672
