         ,"K=10, T=2500, prior_sigma=10" ,"K=10, T=2500, prior_sigma=1" ,"K=10, T=2500, prior_sigma=0.1" ,"K=10, T=2500, prior_sigma=0.01" ,"K=10, T=2500, prior_sigma=0.001" ,"K=10, T=2500, prior_sigma=0.0001" ,"K=10, T=2500, prior_sigma=1e-05" ,"K=10, T=2500, prior_sigma=1e-06" ,"K=100, T=250, prior_sigma=10" ,"K=100, T=250, prior_sigma=1" ,"K=100, T=250, prior_sigma=0.1" ,"K=100, T=250, prior_sigma=0.01" ,"K=100, T=250, prior_sigma=0.001" ,"K=100, T=250, prior_sigma=0.0001" ,"K=100, T=250, prior_sigma=1e-05" ,"K=100, T=250, prior_sigma=1e-06" ,"K=1000, T=25, prior_sigma=10" ,"K=1000, T=25, prior_sigma=1" ,"K=1000, T=25, prior_sigma=0.1" ,"K=1000, T=25, prior_sigma=0.01" ,"K=1000, T=25, prior_sigma=0.001" ,"K=1000, T=25, prior_sigma=0.0001" ,"K=1000, T=25, prior_sigma=1e-05" ,"K=1000, T=25, prior_sigma=1e-06"
Accuracy ,0.9042                         ,0.9057                        ,0.9052                          ,0.9054                           ,0.9054                            ,0.9054                             ,0.9054                            ,0.9055                            ,0.9061                         ,0.9092                        ,0.9076                          ,0.9057                           ,0.9052                            ,0.9053                             ,0.9053                            ,0.9054                            ,0.894                          ,0.9019                        ,0.9077                          ,0.9085                           ,0.9062                            ,0.9053                             ,0.9054                            ,0.9054
Entropy  ,0.2878229022026062             ,0.1984349638223648            ,0.17259055376052856             ,0.16942673921585083              ,0.1690986305475235                ,0.1690649390220642                 ,0.16906246542930603               ,0.169062539935112                 ,0.3507554233074188             ,0.28782129287719727           ,0.19591976702213287             ,0.17208470404148102              ,0.16930502653121948               ,0.16905231773853302                ,0.16905292868614197               ,0.1690562516450882                ,0.45047351717948914            ,0.40326645970344543           ,0.2863161265850067              ,0.1900937408208847               ,0.17051754891872406               ,0.16926832497119904                ,0.16911931335926056               ,0.1691083461046219
LPD      ,-0.268881618976593             ,-0.2750673294067383           ,-0.2867007255554199             ,-0.28859877586364746             ,-0.28877586126327515              ,-0.28878501057624817               ,-0.28878769278526306              ,-0.2887878119945526               ,-0.2696637511253357            ,-0.25784599781036377          ,-0.2676819860935211             ,-0.28477609157562256             ,-0.288232684135437                ,-0.2886994183063507                ,-0.2887687385082245               ,-0.28877681493759155              ,-0.3074062764644623            ,-0.2853052318096161           ,-0.25467342138290405            ,-0.2634122371673584              ,-0.2798215448856354               ,-0.28677746653556824               ,-0.28849315643310547              ,-0.28870049118995667
ECE      ,0.010929969139397144           ,0.019548624753952026          ,0.029637496918439865            ,0.030769091099500656             ,0.03078264556825161               ,0.030792955309152603               ,0.030793361365795135              ,0.030692819505929947              ,0.033844009041786194           ,0.016129400581121445          ,0.019721709191799164            ,0.030068475753068924             ,0.031209640204906464              ,0.031001947820186615               ,0.031082618981599808              ,0.03090207278728485               ,0.05503642559051514            ,0.04619263485074043           ,0.01425887830555439             ,0.019372111186385155             ,0.029204625636339188              ,0.03106324002146721                ,0.0306986253708601                ,0.03077382594347
MCE      ,0.03893047571182251            ,0.2595975399017334            ,0.278076171875                  ,0.2711055278778076               ,0.2714836001396179                ,0.27130478620529175                ,0.27119117975234985               ,0.2711673378944397                ,0.13966307044029236            ,0.0891161859035492            ,0.2854384481906891              ,0.2892998456954956               ,0.2735089659690857                ,0.271737277507782                  ,0.27128085494041443               ,0.2712225317955017                ,0.12992680072784424            ,0.11577308177947998           ,0.13563238084316254             ,0.22130322456359863              ,0.2645004987716675                ,0.2745194733142853                 ,0.27081048488616943               ,0.27044880390167236
OOD      ,0.9016116857528687             ,0.5546905398368835            ,0.4008099138736725              ,0.3778892755508423               ,0.3755648732185364                ,0.3753637969493866                 ,0.3753449022769928                ,0.3753425180912018                ,1.1236273050308228             ,0.9689845442771912            ,0.5782579183578491              ,0.40466946363449097              ,0.37855789065361023               ,0.37574243545532227                ,0.3754148483276367                ,0.3753815293312073                ,1.2301316261291504             ,1.2127083539962769            ,1.0063526630401611              ,0.5900462865829468               ,0.40887030959129333               ,0.37942978739738464                ,0.3759799003601074                ,0.37566590309143066
