,"K=10, T=200, low_rank=0","K=10, T=200, low_rank=1","K=10, T=200, low_rank=2","K=10, T=200, low_rank=5","K=10, T=200, low_rank=10","K=100, T=20, low_rank=0","K=100, T=20, low_rank=1","K=100, T=20, low_rank=2","K=100, T=20, low_rank=5","K=100, T=20, low_rank=10","K=1000, T=2, low_rank=0","K=1000, T=2, low_rank=1","K=1000, T=2, low_rank=2","K=1000, T=2, low_rank=5","K=1000, T=2, low_rank=10"
Accuracy,0.9892,0.9893,0.9893,0.9893,0.9893,0.9904,0.9902,0.9902,0.9902,0.9902,0.9922,0.9923,0.9923,0.9924,0.9923
Entropy,0.02377048321068287,0.023765316233038902,0.023761721327900887,0.023739485070109367,0.02370302565395832,0.026275215670466423,0.026528801769018173,0.02651330828666687,0.0264775101095438,0.026406841352581978,0.03297983482480049,0.032923437654972076,0.03289478272199631,0.032836250960826874,0.032754357904195786
LPD,-0.030496764928102493,-0.030493739992380142,-0.030497243627905846,-0.030504271388053894,-0.0305132158100605,-0.027374669909477234,-0.027868181467056274,-0.027871526777744293,-0.027875613421201706,-0.027868028730154037,-0.022349806502461433,-0.02252732217311859,-0.02252115309238434,-0.022529836744070053,-0.02258261665701866
ECE,0.0034631225280463696,0.003335978602990508,0.003336850553750992,0.003483871463686228,0.0034940973855555058,0.0020320694893598557,0.002299728337675333,0.002304102759808302,0.002316070254892111,0.0023339868057519197,0.002963628387078643,0.0028664071578532457,0.0028581153601408005,0.002948525594547391,0.002821854781359434
MCE,0.3841090798377991,0.17867141962051392,0.17868101596832275,0.18974429368972778,0.1901126503944397,0.6171212792396545,0.17029410600662231,0.1454164981842041,0.14555901288986206,0.13625186681747437,0.39042165875434875,0.3787342309951782,0.3806270658969879,0.37503406405448914,0.37654349207878113
OOD,1.2215980291366577,1.2214405536651611,1.2214105129241943,1.2213352918624878,1.2211813926696777,1.2417950630187988,1.2455624341964722,1.2454206943511963,1.2451814413070679,1.2447292804718018,1.234279751777649,1.2408603429794312,1.2408405542373657,1.242525577545166,1.245745062828064
