,"K=10, T=1, prior_sigma=10, num_transformations=30","K=10, T=1, prior_sigma=1, num_transformations=30","K=10, T=1, prior_sigma=0.1, num_transformations=30","K=10, T=1, prior_sigma=0.01, num_transformations=30","K=10, T=1, prior_sigma=0.001, num_transformations=30","K=10, T=1, prior_sigma=0.0001, num_transformations=30","K=10, T=1, prior_sigma=1e-05, num_transformations=30","K=10, T=1, prior_sigma=1e-06, num_transformations=30","K=100, T=1, prior_sigma=10, num_transformations=30","K=100, T=1, prior_sigma=1, num_transformations=30","K=100, T=1, prior_sigma=0.1, num_transformations=30","K=100, T=1, prior_sigma=0.01, num_transformations=30","K=100, T=1, prior_sigma=0.001, num_transformations=30","K=100, T=1, prior_sigma=0.0001, num_transformations=30","K=100, T=1, prior_sigma=1e-05, num_transformations=30","K=100, T=1, prior_sigma=1e-06, num_transformations=30","K=1000, T=1, prior_sigma=10, num_transformations=30","K=1000, T=1, prior_sigma=1, num_transformations=30","K=1000, T=1, prior_sigma=0.1, num_transformations=30","K=1000, T=1, prior_sigma=0.01, num_transformations=30","K=1000, T=1, prior_sigma=0.001, num_transformations=30","K=1000, T=1, prior_sigma=0.0001, num_transformations=30","K=1000, T=1, prior_sigma=1e-05, num_transformations=30","K=1000, T=1, prior_sigma=1e-06, num_transformations=30"
Accuracy,0.9086,0.9087,0.909,0.908,0.9063,0.9054,0.9055,0.9053,0.9094,0.9094,0.9094,0.9089,0.9075,0.9059,0.9052,0.9054,0.9108,0.9106,0.9102,0.9112,0.9107,0.9073,0.9052,0.9056
Entropy,0.16502709686756134,0.16503798961639404,0.165168896317482,0.1661539226770401,0.16831636428833008,0.1689784824848175,0.16904762387275696,0.1690519154071808,0.15852326154708862,0.15853554010391235,0.15863178670406342,0.15958066284656525,0.16437041759490967,0.1681901067495346,0.16897037625312805,0.16904732584953308,0.15384867787361145,0.15322323143482208,0.15449310839176178,0.1555468738079071,0.15825878083705902,0.1642526388168335,0.16829811036586761,0.16897989809513092
LPD,-0.28569403290748596,-0.285683810710907,-0.2856067419052124,-0.28532344102859497,-0.2867489457130432,-0.2884342670440674,-0.28875893354415894,-0.28878253698349,-0.2793429493904114,-0.2792898714542389,-0.2791150212287903,-0.278395414352417,-0.279782772064209,-0.2852374017238617,-0.2882917821407318,-0.2887367010116577,-0.2760838270187378,-0.27629804611206055,-0.2749142646789551,-0.2733563482761383,-0.27469900250434875,-0.2795654237270355,-0.28568920493125916,-0.2883692681789398
ECE,0.030177656561136246,0.030072230845689774,0.03030085191130638,0.029910899698734283,0.031153488904237747,0.03093723952770233,0.030696634203195572,0.030894502997398376,0.03090062364935875,0.030906856060028076,0.03090231865644455,0.03067813627421856,0.03043258562684059,0.030629944056272507,0.03095218911767006,0.030926242470741272,0.030248437076807022,0.030960440635681152,0.031524766236543655,0.029814112931489944,0.029199659824371338,0.03047584369778633,0.0313701331615448,0.030667195096611977
MCE,0.212693989276886,0.21307140588760376,0.21559089422225952,0.2735164165496826,0.28224778175354004,0.27261173725128174,0.2712514102458954,0.271226704120636,0.1361408829689026,0.13865071535110474,0.13121604919433594,0.12307977676391602,0.13485002517700195,0.26969847083091736,0.2709919810295105,0.27126896381378174,0.23422273993492126,0.14196676015853882,0.14371412992477417,0.7455407977104187,0.22822308540344238,0.27018672227859497,0.27891629934310913,0.2724614143371582
OOD,0.38787683844566345,0.38785985112190247,0.38749751448631287,0.38471919298171997,0.37799662351608276,0.375680148601532,0.3753901720046997,0.3753489851951599,0.4062460958957672,0.40619412064552307,0.40385451912879944,0.39306288957595825,0.3822048306465149,0.3768899440765381,0.3755379319190979,0.37536993622779846,0.47187694907188416,0.47377219796180725,0.47461453080177307,0.4530375003814697,0.4039071202278137,0.3841579854488373,0.3769336938858032,0.3755047619342804
