,"K=10, T=1, prior_sigma=10, num_transformations=10","K=10, T=1, prior_sigma=1, num_transformations=10","K=10, T=1, prior_sigma=0.1, num_transformations=10","K=10, T=1, prior_sigma=0.01, num_transformations=10","K=10, T=1, prior_sigma=0.001, num_transformations=10","K=10, T=1, prior_sigma=0.0001, num_transformations=10","K=10, T=1, prior_sigma=1e-05, num_transformations=10","K=10, T=1, prior_sigma=1e-06, num_transformations=10","K=100, T=1, prior_sigma=10, num_transformations=10","K=100, T=1, prior_sigma=1, num_transformations=10","K=100, T=1, prior_sigma=0.1, num_transformations=10","K=100, T=1, prior_sigma=0.01, num_transformations=10","K=100, T=1, prior_sigma=0.001, num_transformations=10","K=100, T=1, prior_sigma=0.0001, num_transformations=10","K=100, T=1, prior_sigma=1e-05, num_transformations=10","K=100, T=1, prior_sigma=1e-06, num_transformations=10","K=1000, T=1, prior_sigma=10, num_transformations=10","K=1000, T=1, prior_sigma=1, num_transformations=10","K=1000, T=1, prior_sigma=0.1, num_transformations=10","K=1000, T=1, prior_sigma=0.01, num_transformations=10","K=1000, T=1, prior_sigma=0.001, num_transformations=10","K=1000, T=1, prior_sigma=0.0001, num_transformations=10","K=1000, T=1, prior_sigma=1e-05, num_transformations=10","K=1000, T=1, prior_sigma=1e-06, num_transformations=10","K=10, T=1, prior_sigma=10, num_transformations=40","K=10, T=1, prior_sigma=1, num_transformations=40","K=10, T=1, prior_sigma=0.1, num_transformations=40","K=10, T=1, prior_sigma=0.01, num_transformations=40","K=10, T=1, prior_sigma=0.001, num_transformations=40","K=10, T=1, prior_sigma=0.0001, num_transformations=40","K=10, T=1, prior_sigma=1e-05, num_transformations=40","K=10, T=1, prior_sigma=1e-06, num_transformations=40","K=100, T=1, prior_sigma=10, num_transformations=40","K=100, T=1, prior_sigma=1, num_transformations=40","K=100, T=1, prior_sigma=0.1, num_transformations=40","K=100, T=1, prior_sigma=0.01, num_transformations=40","K=100, T=1, prior_sigma=0.001, num_transformations=40","K=100, T=1, prior_sigma=0.0001, num_transformations=40","K=100, T=1, prior_sigma=1e-05, num_transformations=40","K=100, T=1, prior_sigma=1e-06, num_transformations=40","K=1000, T=1, prior_sigma=10, num_transformations=40","K=1000, T=1, prior_sigma=1, num_transformations=40","K=1000, T=1, prior_sigma=0.1, num_transformations=40","K=1000, T=1, prior_sigma=0.01, num_transformations=40","K=1000, T=1, prior_sigma=0.001, num_transformations=40","K=1000, T=1, prior_sigma=0.0001, num_transformations=40","K=1000, T=1, prior_sigma=1e-05, num_transformations=40","K=1000, T=1, prior_sigma=1e-06, num_transformations=40"
Accuracy,0.9084,0.9086,0.9086,0.908,0.906,0.9053,0.9055,0.9055,0.9087,0.9085,0.9091,0.9092,0.9077,0.9059,0.9052,0.9054,0.9106,0.9096,0.9106,0.9102,0.9099,0.9071,0.9052,0.9053,0.9083,0.9083,0.9084,0.9081,0.9062,0.9054,0.9055,0.9053,0.9092,0.909,0.9092,0.9091,0.9076,0.9059,0.9052,0.9054,0.4318,0.8368,0.911,0.9108,0.9097,0.9071,0.9052,0.9052
Entropy,0.16521279513835907,0.16522370278835297,0.16536258161067963,0.16632439196109772,0.16837365925312042,0.16900663077831268,0.16904516518115997,0.16905497014522552,0.15940265357494354,0.15936757624149323,0.15953542292118073,0.16047772765159607,0.16462929546833038,0.16830262541770935,0.16898803412914276,0.16905651986598969,0.17225655913352966,0.18246996402740479,0.1712329387664795,0.1663881540298462,0.15903300046920776,0.164178729057312,0.1683034747838974,0.16899116337299347,0.16516000032424927,0.16517150402069092,0.1653088629245758,0.1662943810224533,0.16833490133285522,0.16898365318775177,0.1690448820590973,0.1690501719713211,0.16073697805404663,0.16042660176753998,0.15983238816261292,0.16117705404758453,0.16469022631645203,0.16832606494426727,0.16898752748966217,0.16904130578041077,1.8045507669448853,0.5289146900177002,0.19324105978012085,0.17778585851192474,0.15975695848464966,0.16414183378219604,0.1683153659105301,0.1690167933702469
LPD,-0.28560325503349304,-0.2855975031852722,-0.28553086519241333,-0.28533071279525757,-0.28682219982147217,-0.28843918442726135,-0.2887548804283142,-0.28878509998321533,-0.2786821126937866,-0.27875474095344543,-0.2784534990787506,-0.2780657112598419,-0.27989062666893005,-0.28545889258384705,-0.288301020860672,-0.28873148560523987,-0.26415500044822693,-0.26036062836647034,-0.2652595043182373,-0.2673897445201874,-0.27462539076805115,-0.2800202965736389,-0.28589150309562683,-0.28837642073631287,-0.2856786251068115,-0.28567346930503845,-0.28560224175453186,-0.28536391258239746,-0.2868647277355194,-0.2884601354598999,-0.2887513339519501,-0.28878796100616455,-0.2776511609554291,-0.2777482569217682,-0.2781828045845032,-0.27746137976646423,-0.2798836827278137,-0.28549036383628845,-0.2883041501045227,-0.28873905539512634,-1.5531725883483887,-0.4496541917324066,-0.2550215423107147,-0.26065149903297424,-0.27424028515815735,-0.2799415588378906,-0.28592193126678467,-0.28835877776145935
ECE,0.030361272394657135,0.03023754432797432,0.02998202294111252,0.029964549466967583,0.030943263322114944,0.031027086079120636,0.030626613646745682,0.03069275990128517,0.03102339245378971,0.031250495463609695,0.030596841126680374,0.03035900369286537,0.030130144208669662,0.03059176355600357,0.031049728393554688,0.030791383236646652,0.023616056889295578,0.020714644342660904,0.024563562124967575,0.02639562077820301,0.02973874844610691,0.030690442770719528,0.03148072212934494,0.030949920415878296,0.030040092766284943,0.029835214838385582,0.030522234737873077,0.02961467206478119,0.030951904132962227,0.030932489782571793,0.030627168715000153,0.030895309522747993,0.030047167092561722,0.0304839126765728,0.030438749119639397,0.030177351087331772,0.030209263786673546,0.030579060316085815,0.031051980331540108,0.03079855628311634,0.10184784978628159,0.02968980185687542,0.015300601720809937,0.022734319791197777,0.029670368880033493,0.030701592564582825,0.03139893710613251,0.031040892004966736
MCE,0.21092858910560608,0.21111315488815308,0.21339133381843567,0.22870156168937683,0.28211233019828796,0.27257856726646423,0.2714691162109375,0.271350622177124,0.21487778425216675,0.38165315985679626,0.3815775215625763,0.7107317447662354,0.12646424770355225,0.2684055268764496,0.27070721983909607,0.2709288001060486,0.39644676446914673,0.2675168514251709,0.28283801674842834,0.11172664165496826,0.24707120656967163,0.26913395524024963,0.27700987458229065,0.27183622121810913,0.21123439073562622,0.21155720949172974,0.21344077587127686,0.22900283336639404,0.281368225812912,0.272726833820343,0.2713695764541626,0.2712504267692566,0.3916657865047455,0.3922959268093109,0.3898128867149353,0.7220416069030762,0.12884551286697388,0.2681722044944763,0.270425945520401,0.27114930748939514,0.30823713541030884,0.08614423871040344,0.279692679643631,0.2142183780670166,0.24377956986427307,0.268572062253952,0.2760775089263916,0.2712860107421875
OOD,0.3881581425666809,0.3880990743637085,0.3876705765724182,0.3848107159137726,0.3779761493206024,0.3756512701511383,0.37540403008461,0.3753586709499359,0.4053601026535034,0.4044250249862671,0.4031209349632263,0.393057256937027,0.381668359041214,0.37697312235832214,0.3755269944667816,0.3753669857978821,0.6134766340255737,0.6711742281913757,0.6152457594871521,0.5405962467193604,0.40725886821746826,0.38499534130096436,0.3770955801010132,0.3755956292152405,0.388467401266098,0.38843756914138794,0.38791152834892273,0.3847772479057312,0.37777620553970337,0.3756103813648224,0.3753570318222046,0.3753276765346527,0.42415112257003784,0.41823914647102356,0.4096958041191101,0.40610092878341675,0.38203954696655273,0.3770788908004761,0.3756495714187622,0.3754166066646576,0.9188792705535889,0.965627908706665,0.7445881366729736,0.6466184258460999,0.4116540551185608,0.3850161135196686,0.3771725296974182,0.3756362199783325
