,"K=1000, T=1, low_rank=2, prior_var=1e-06","K=1000, T=1, low_rank=2, prior_var=1e-05","K=1000, T=1, low_rank=2, prior_var=0.0001","K=1000, T=1, low_rank=2, prior_var=0.001","K=1000, T=1, low_rank=2, prior_var=0.01","K=1000, T=1, low_rank=2, prior_var=0.1","K=1000, T=1, low_rank=2, prior_var=1","K=1000, T=1, low_rank=2, prior_var=10","K=1000, T=1, low_rank=5, prior_var=1e-06","K=1000, T=1, low_rank=5, prior_var=1e-05","K=1000, T=1, low_rank=5, prior_var=0.0001","K=1000, T=1, low_rank=5, prior_var=0.001","K=1000, T=1, low_rank=5, prior_var=0.01","K=1000, T=1, low_rank=5, prior_var=0.1","K=1000, T=1, low_rank=5, prior_var=1","K=1000, T=1, low_rank=5, prior_var=10","K=1000, T=1, low_rank=0, prior_var=1e-06","K=1000, T=1, low_rank=0, prior_var=1e-05","K=1000, T=1, low_rank=0, prior_var=0.0001","K=1000, T=1, low_rank=0, prior_var=0.001","K=1000, T=1, low_rank=0, prior_var=0.01","K=1000, T=1, low_rank=0, prior_var=0.1","K=1000, T=1, low_rank=0, prior_var=1","K=1000, T=1, low_rank=0, prior_var=10","K=1000, T=1, low_rank=1, prior_var=1e-06","K=1000, T=1, low_rank=1, prior_var=1e-05","K=1000, T=1, low_rank=1, prior_var=0.0001","K=1000, T=1, low_rank=1, prior_var=0.001","K=1000, T=1, low_rank=1, prior_var=0.01","K=1000, T=1, low_rank=1, prior_var=0.1","K=1000, T=1, low_rank=1, prior_var=1","K=1000, T=1, low_rank=1, prior_var=10","K=1000, T=1, low_rank=10, prior_var=1e-06","K=1000, T=1, low_rank=10, prior_var=1e-05","K=1000, T=1, low_rank=10, prior_var=0.0001","K=1000, T=1, low_rank=10, prior_var=0.001","K=1000, T=1, low_rank=10, prior_var=0.01","K=1000, T=1, low_rank=10, prior_var=0.1","K=1000, T=1, low_rank=10, prior_var=1","K=1000, T=1, low_rank=10, prior_var=10"
Accuracy,0.9053,0.9056,0.9079,0.9099,0.9103,0.911,0.9106,0.9107,0.9054,0.9056,0.9078,0.9099,0.9102,0.9105,0.911,0.9113,0.9052,0.9056,0.908,0.91,0.9091,0.9098,0.91,0.91,0.9053,0.9056,0.9078,0.9098,0.9103,0.9113,0.9108,0.9105,0.9051,0.9055,0.9075,0.9097,0.9097,0.9116,0.9109,0.9107
Entropy,0.169,0.1685,0.1649,0.161,0.1757,0.1916,0.195,0.1954,0.169,0.1686,0.1653,0.1616,0.1777,0.194,0.1975,0.198,0.1691,0.1685,0.1647,0.1606,0.1748,0.1903,0.1938,0.1942,0.169,0.1685,0.1647,0.1606,0.1748,0.1903,0.1936,0.194,0.169,0.1688,0.1665,0.1646,0.1826,0.1998,0.2036,0.2041
LPD,-0.2883,-0.2855,-0.279,-0.2731,-0.2633,-0.257,-0.2559,-0.2558,-0.2883,-0.2855,-0.2789,-0.273,-0.2626,-0.2563,-0.2553,-0.2552,-0.2883,-0.2854,-0.2791,-0.2739,-0.2647,-0.2585,-0.2574,-0.2572,-0.2883,-0.2855,-0.2791,-0.2733,-0.2637,-0.2574,-0.2563,-0.2562,-0.2883,-0.2853,-0.2783,-0.2716,-0.2609,-0.2549,-0.2539,-0.2538
ECE,0.0308,0.0309,0.0303,0.0289,0.0234,0.0156,0.0152,0.0155,0.0307,0.0309,0.03,0.0289,0.0228,0.0153,0.0143,0.0151,0.0311,0.0309,0.0301,0.0293,0.0239,0.0184,0.0166,0.0164,0.0308,0.0309,0.0302,0.0292,0.0235,0.0163,0.0157,0.0158,0.0311,0.0308,0.0294,0.0278,0.0216,0.0146,0.013,0.0126
MCE,0.2733,0.284,0.2821,0.2313,0.2742,0.0729,0.2868,0.2889,0.2728,0.2831,0.2805,0.7341,0.2794,0.2719,0.2901,0.2903,0.272,0.2819,0.2804,0.2269,0.094,0.2096,0.2838,0.2825,0.2732,0.2838,0.2825,0.2283,0.1365,0.074,0.2876,0.2894,0.2725,0.2833,0.2825,0.7321,0.2818,0.2754,0.2859,0.2864
OOD,0.3759,0.3776,0.385,0.415,0.5731,0.68,0.6975,0.6996,0.376,0.3776,0.3856,0.4176,0.5819,0.6901,0.7073,0.7098,0.3758,0.3774,0.3833,0.4095,0.5567,0.6618,0.6807,0.6826,0.3759,0.3775,0.3842,0.4135,0.5698,0.6768,0.6942,0.6961,0.376,0.378,0.3882,0.4248,0.598,0.7076,0.7267,0.7282
