,"K=1000, T=2, low_rank=0, prior_var=1e-06","K=1000, T=2, low_rank=0, prior_var=1e-05","K=1000, T=2, low_rank=0, prior_var=0.0001","K=1000, T=2, low_rank=0, prior_var=0.001","K=1000, T=2, low_rank=0, prior_var=0.01","K=1000, T=2, low_rank=0, prior_var=0.1","K=1000, T=2, low_rank=0, prior_var=1","K=1000, T=2, low_rank=0, prior_var=10","K=1000, T=2, low_rank=1, prior_var=1e-06","K=1000, T=2, low_rank=1, prior_var=1e-05","K=1000, T=2, low_rank=1, prior_var=0.0001","K=1000, T=2, low_rank=1, prior_var=0.001","K=1000, T=2, low_rank=1, prior_var=0.01","K=1000, T=2, low_rank=1, prior_var=0.1","K=1000, T=2, low_rank=1, prior_var=1","K=1000, T=2, low_rank=1, prior_var=10","K=1000, T=2, low_rank=2, prior_var=1e-06","K=1000, T=2, low_rank=2, prior_var=1e-05","K=1000, T=2, low_rank=2, prior_var=0.0001","K=1000, T=2, low_rank=2, prior_var=0.001","K=1000, T=2, low_rank=2, prior_var=0.01","K=1000, T=2, low_rank=2, prior_var=0.1","K=1000, T=2, low_rank=2, prior_var=1","K=1000, T=2, low_rank=2, prior_var=10","K=1000, T=2, low_rank=5, prior_var=1e-06","K=1000, T=2, low_rank=5, prior_var=1e-05","K=1000, T=2, low_rank=5, prior_var=0.0001","K=1000, T=2, low_rank=5, prior_var=0.001","K=1000, T=2, low_rank=5, prior_var=0.01","K=1000, T=2, low_rank=5, prior_var=0.1","K=1000, T=2, low_rank=5, prior_var=1","K=1000, T=2, low_rank=5, prior_var=10","K=1000, T=2, low_rank=10, prior_var=1e-06","K=1000, T=2, low_rank=10, prior_var=1e-05","K=1000, T=2, low_rank=10, prior_var=0.0001","K=1000, T=2, low_rank=10, prior_var=0.001","K=1000, T=2, low_rank=10, prior_var=0.01","K=1000, T=2, low_rank=10, prior_var=0.1","K=1000, T=2, low_rank=10, prior_var=1","K=1000, T=2, low_rank=10, prior_var=10"
Accuracy,0.9894,0.9894,0.9894,0.99,0.9916,0.9922,0.9923,0.9923,0.9894,0.9894,0.9895,0.9902,0.9916,0.9922,0.9923,0.9921,0.9894,0.9894,0.9895,0.9901,0.9916,0.9922,0.9922,0.9921,0.9894,0.9894,0.9895,0.9902,0.9915,0.9923,0.9924,0.9923,0.9894,0.9894,0.9895,0.9901,0.9913,0.9923,0.9924,0.9922
Entropy,0.0232,0.0232,0.0231,0.0224,0.0236,0.033,0.0368,0.0372,0.0232,0.0232,0.0231,0.0224,0.0233,0.033,0.0373,0.0378,0.0232,0.0232,0.0231,0.0224,0.0234,0.0332,0.0377,0.0382,0.0232,0.0232,0.0231,0.0224,0.0237,0.0337,0.0381,0.0386,0.0233,0.0232,0.0231,0.0225,0.0242,0.0347,0.0393,0.0399
LPD,-0.0307,-0.0307,-0.0303,-0.0283,-0.024,-0.0224,-0.0234,-0.0237,-0.0307,-0.0307,-0.0303,-0.0282,-0.0238,-0.0226,-0.0238,-0.0242,-0.0307,-0.0307,-0.0303,-0.0282,-0.0238,-0.0226,-0.0239,-0.0242,-0.0307,-0.0307,-0.0303,-0.0282,-0.0238,-0.0227,-0.024,-0.0243,-0.0307,-0.0306,-0.0303,-0.0281,-0.0238,-0.0229,-0.0243,-0.0246
ECE,0.0035,0.0034,0.0033,0.0031,0.0011,0.003,0.0039,0.0042,0.0035,0.0033,0.0033,0.0031,0.0012,0.0027,0.0041,0.004,0.0035,0.0034,0.0033,0.003,0.0013,0.0027,0.0041,0.0041,0.0035,0.0033,0.0033,0.003,0.0011,0.003,0.0044,0.0044,0.0035,0.0033,0.0031,0.003,0.001,0.0033,0.0047,0.0047
MCE,0.189,0.1887,0.6212,0.3884,0.072,0.3904,0.1184,0.3596,0.1889,0.1682,0.6199,0.3914,0.0437,0.131,0.1293,0.1188,0.189,0.1791,0.6197,0.3914,0.0632,0.1318,0.1224,0.1134,0.189,0.1684,0.6196,0.3914,0.1033,0.1062,0.1433,0.0925,0.1892,0.1685,0.6199,0.3919,0.1351,0.3992,0.113,0.0939
OOD,1.2167,1.2166,1.2164,1.2171,1.2127,1.2342,1.2498,1.2492,1.2169,1.217,1.217,1.2187,1.2196,1.248,1.2628,1.262,1.217,1.217,1.217,1.2186,1.2199,1.2494,1.2666,1.2644,1.2169,1.2169,1.217,1.2186,1.222,1.2544,1.2716,1.2712,1.2168,1.2169,1.2171,1.22,1.2246,1.2595,1.2772,1.2778
