,"K=10, T=1, prior_sigma=1e-06","K=10, T=1, prior_sigma=1e-05","K=10, T=1, prior_sigma=0.0001","K=10, T=1, prior_sigma=0.001","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1e-06","K=100, T=1, prior_sigma=1e-05","K=100, T=1, prior_sigma=0.0001","K=100, T=1, prior_sigma=0.001","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=10","K=1000, T=1, prior_sigma=1e-06","K=1000, T=1, prior_sigma=1e-05","K=1000, T=1, prior_sigma=0.0001","K=1000, T=1, prior_sigma=0.001","K=1000, T=1, prior_sigma=0.01","K=1000, T=1, prior_sigma=0.1","K=1000, T=1, prior_sigma=1","K=1000, T=1, prior_sigma=10","K=10, T=200, prior_sigma=1e-06","K=10, T=200, prior_sigma=1e-05","K=10, T=200, prior_sigma=0.0001","K=10, T=200, prior_sigma=0.001","K=10, T=200, prior_sigma=0.01","K=10, T=200, prior_sigma=0.1","K=10, T=200, prior_sigma=1","K=10, T=200, prior_sigma=10","K=100, T=20, prior_sigma=1e-06","K=100, T=20, prior_sigma=1e-05","K=100, T=20, prior_sigma=0.0001","K=100, T=20, prior_sigma=0.001","K=100, T=20, prior_sigma=0.01","K=100, T=20, prior_sigma=0.1","K=100, T=20, prior_sigma=1","K=100, T=20, prior_sigma=10","K=1000, T=2, prior_sigma=1e-06","K=1000, T=2, prior_sigma=1e-05","K=1000, T=2, prior_sigma=0.0001","K=1000, T=2, prior_sigma=0.001","K=1000, T=2, prior_sigma=0.01","K=1000, T=2, prior_sigma=0.1","K=1000, T=2, prior_sigma=1","K=1000, T=2, prior_sigma=10"
Accuracy,0.9894,0.9894,0.9894,0.9893,0.9894,0.9894,0.9895,0.9893,0.9894,0.9894,0.9894,0.9895,0.9898,0.9897,0.9894,0.9897,0.9894,0.9894,0.9898,0.9907,0.9907,0.9907,0.9912,0.9906,0.9894,0.9894,0.9894,0.9895,0.9894,0.9892,0.9892,0.9893,0.9894,0.9894,0.9894,0.9894,0.9898,0.9895,0.9894,0.9897,0.9894,0.9894,0.9894,0.9901,0.9901,0.9909,0.9899,0.99
Entropy,0.023252077400684357,0.02325114607810974,0.02323613315820694,0.023222362622618675,0.023211022838950157,0.023194845765829086,0.02312619425356388,0.02317790687084198,0.02325177937746048,0.023249147459864616,0.023219820111989975,0.022952690720558167,0.022868523374199867,0.022673245519399643,0.022941438481211662,0.022825753316283226,0.023248843848705292,0.023204466328024864,0.022850386798381805,0.021763015538454056,0.021695706993341446,0.0209505632519722,0.020682254806160927,0.02101976051926613,0.023252174258232117,0.023252436891198158,0.023249534890055656,0.023268423974514008,0.023277034983038902,0.02316681481897831,0.023316610604524612,0.023247960954904556,0.023251982405781746,0.02325209230184555,0.023260073736310005,0.023322714492678642,0.023127244785428047,0.023311160504817963,0.02300357259809971,0.02283221296966076,0.02324974536895752,0.023235473781824112,0.023008450865745544,0.02272346056997776,0.02234778366982937,0.02151888608932495,0.02202754095196724,0.022664856165647507
LPD,-0.03071514144539833,-0.030714504420757294,-0.03070942871272564,-0.030542045831680298,-0.03067275695502758,-0.03056274726986885,-0.03064294345676899,-0.030686108395457268,-0.030714605003595352,-0.030707653611898422,-0.030639640986919403,-0.030122652649879456,-0.029918767511844635,-0.030085118487477303,-0.029607506468892097,-0.029847392812371254,-0.030706558376550674,-0.030618825927376747,-0.02994282729923725,-0.026974022388458252,-0.02590988017618656,-0.027325542643666267,-0.026350973173975945,-0.027064012363553047,-0.03071533516049385,-0.03071477636694908,-0.030714519321918488,-0.030759567394852638,-0.030692994594573975,-0.030768292024731636,-0.030750563368201256,-0.03070354275405407,-0.03071543574333191,-0.03071567974984646,-0.030670851469039917,-0.03089955449104309,-0.030361004173755646,-0.030893174931406975,-0.030781472101807594,-0.03029724396765232,-0.030710946768522263,-0.03068183735013008,-0.030290087684988976,-0.02954551950097084,-0.02888549119234085,-0.02742106281220913,-0.027986982837319374,-0.02910570055246353
ECE,0.003592641092836857,0.0035932501778006554,0.003596857888624072,0.003559449454769492,0.003457347396761179,0.0032869824208319187,0.0037569482810795307,0.0037469298113137484,0.003592872992157936,0.003593951929360628,0.003401037771254778,0.0032142966520041227,0.003517303615808487,0.0032736356370151043,0.00316548440605402,0.003045448800548911,0.0035935500636696815,0.003365223528817296,0.003255873918533325,0.0027716238982975483,0.002365435939282179,0.0028535015881061554,0.002651133108884096,0.002868681214749813,0.0035927516873925924,0.0035926876589655876,0.003593732602894306,0.0036343184765428305,0.003542085411027074,0.0033115881960839033,0.0034645807463675737,0.0035409480333328247,0.0035927249118685722,0.0035923104733228683,0.00368952052667737,0.003467131406068802,0.0034873629920184612,0.0035700369626283646,0.003242781385779381,0.003310654778033495,0.0035934201441705227,0.0034964941442012787,0.0031997296027839184,0.003584121121093631,0.0031975158490240574,0.0029166950844228268,0.003222125116735697,0.0033704533707350492
MCE,0.18890196084976196,0.1889030933380127,0.1892297863960266,0.38609838485717773,0.17778688669204712,0.387570858001709,0.1803836226463318,0.389286607503891,0.18890029191970825,0.18887931108474731,0.18850725889205933,0.6165652275085449,0.6131309270858765,0.18815535306930542,0.16045737266540527,0.11297941207885742,0.188889741897583,0.17824065685272217,0.3807907700538635,0.3843648135662079,0.6071016788482666,0.38943299651145935,0.6178396344184875,0.35341838002204895,0.18890362977981567,0.1889137625694275,0.18893861770629883,0.2566145360469818,0.19905036687850952,0.38632386922836304,0.14859938621520996,0.6183158159255981,0.1889016032218933,0.18888825178146362,0.20945602655410767,0.1465478539466858,0.3829386234283447,0.2822098433971405,0.6216257810592651,0.6188282370567322,0.18891644477844238,0.1889992356300354,0.14125502109527588,0.19760635495185852,0.2626683712005615,0.12246865034103394,0.17047175765037537,0.4179966151714325
OOD,1.2168169021606445,1.2167874574661255,1.2166699171066284,1.2187050580978394,1.2156102657318115,1.2170101404190063,1.2140676975250244,1.216342568397522,1.2168066501617432,1.2168012857437134,1.2172110080718994,1.2189404964447021,1.2118659019470215,1.2102705240249634,1.2273468971252441,1.2181464433670044,1.2168587446212769,1.2168136835098267,1.2161847352981567,1.2163695096969604,1.2393769025802612,1.1818716526031494,1.173616647720337,1.2177373170852661,1.216817021369934,1.2168004512786865,1.2167268991470337,1.2180140018463135,1.2174406051635742,1.2160060405731201,1.2162123918533325,1.21647047996521,1.2168058156967163,1.2167888879776,1.2167537212371826,1.2173480987548828,1.2122139930725098,1.2152111530303955,1.2201093435287476,1.2109708786010742,1.2168140411376953,1.2167835235595703,1.21676504611969,1.2117094993591309,1.1898258924484253,1.179600715637207,1.2107146978378296,1.1733845472335815
