,"K=10, T=1, prior_sigma=1e-06","K=10, T=1, prior_sigma=1e-05","K=10, T=1, prior_sigma=0.0001","K=10, T=1, prior_sigma=0.001","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1e-06","K=100, T=1, prior_sigma=1e-05","K=100, T=1, prior_sigma=0.0001","K=100, T=1, prior_sigma=0.001","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=10","K=1000, T=1, prior_sigma=1e-06","K=1000, T=1, prior_sigma=1e-05","K=1000, T=1, prior_sigma=0.0001","K=1000, T=1, prior_sigma=0.001","K=1000, T=1, prior_sigma=0.01","K=1000, T=1, prior_sigma=0.1","K=1000, T=1, prior_sigma=1","K=1000, T=1, prior_sigma=10","K=10, T=2500, prior_sigma=1e-06","K=10, T=2500, prior_sigma=1e-05","K=10, T=2500, prior_sigma=0.0001","K=10, T=2500, prior_sigma=0.001","K=10, T=2500, prior_sigma=0.01","K=10, T=2500, prior_sigma=0.1","K=10, T=2500, prior_sigma=1","K=10, T=2500, prior_sigma=10","K=100, T=250, prior_sigma=1e-06","K=100, T=250, prior_sigma=1e-05","K=100, T=250, prior_sigma=0.0001","K=100, T=250, prior_sigma=0.001","K=100, T=250, prior_sigma=0.01","K=100, T=250, prior_sigma=0.1","K=100, T=250, prior_sigma=1","K=100, T=250, prior_sigma=10","K=1000, T=25, prior_sigma=1e-06","K=1000, T=25, prior_sigma=1e-05","K=1000, T=25, prior_sigma=0.0001","K=1000, T=25, prior_sigma=0.001","K=1000, T=25, prior_sigma=0.01","K=1000, T=25, prior_sigma=0.1","K=1000, T=25, prior_sigma=1","K=1000, T=25, prior_sigma=10"
Accuracy,0.9055,0.9054,0.9054,0.9056,0.9058,0.906,0.9053,0.9048,0.9054,0.9056,0.9053,0.9073,0.9072,0.908,0.9089,0.9084,0.9052,0.9053,0.9084,0.9103,0.9094,0.9103,0.9101,0.9102,0.9055,0.9054,0.9054,0.9054,0.9054,0.9051,0.9045,0.9053,0.9055,0.9054,0.9053,0.9054,0.9042,0.9054,0.9052,0.904,0.9054,0.9054,0.9055,0.9065,0.9073,0.9084,0.9054,0.9068
Entropy,0.16906307637691498,0.16907456517219543,0.16908852756023407,0.16932685673236847,0.1681697517633438,0.1670190691947937,0.16794192790985107,0.17040739953517914,0.16905443370342255,0.16901293396949768,0.16883857548236847,0.16460663080215454,0.16101078689098358,0.1627502590417862,0.164264515042305,0.16435053944587708,0.16900014877319336,0.16826729476451874,0.16462554037570953,0.15809838473796844,0.1547170877456665,0.156752347946167,0.15619142353534698,0.1570640653371811,0.16906291246414185,0.16906142234802246,0.1690644919872284,0.16911549866199493,0.16941937804222107,0.1696982979774475,0.1697322577238083,0.16969576478004456,0.16906315088272095,0.169070765376091,0.16920769214630127,0.16853702068328857,0.16921807825565338,0.1691269427537918,0.17004455626010895,0.16756263375282288,0.16906356811523438,0.16906890273094177,0.1689305603504181,0.16776633262634277,0.1689954251050949,0.16748474538326263,0.16983141005039215,0.16734248399734497
LPD,-0.28878411650657654,-0.28874263167381287,-0.28805115818977356,-0.2870956063270569,-0.28413429856300354,-0.2855573296546936,-0.28607234358787537,-0.2853028476238251,-0.2887229025363922,-0.28833284974098206,-0.28539419174194336,-0.28159570693969727,-0.28122812509536743,-0.27953246235847473,-0.28071749210357666,-0.27917808294296265,-0.28832724690437317,-0.28547176718711853,-0.2793194651603699,-0.27620139718055725,-0.2755740284919739,-0.2774554491043091,-0.2769586741924286,-0.2770203948020935,-0.28878599405288696,-0.2887949049472809,-0.2887928783893585,-0.2886016368865967,-0.28864559531211853,-0.28947749733924866,-0.2899869382381439,-0.28886184096336365,-0.28878745436668396,-0.2887989282608032,-0.2887418866157532,-0.28889790177345276,-0.2908797264099121,-0.291715532541275,-0.28876224160194397,-0.29072999954223633,-0.28876423835754395,-0.2886025905609131,-0.28683626651763916,-0.28312039375305176,-0.28112804889678955,-0.2809320390224457,-0.28724348545074463,-0.28342005610466003
ECE,0.030692514032125473,0.030786944553256035,0.03076884150505066,0.030709702521562576,0.030721141025424004,0.031023818999528885,0.03113730438053608,0.03073863498866558,0.03079366683959961,0.030844565480947495,0.03092721663415432,0.030641794204711914,0.031919077038764954,0.031188413500785828,0.030324602499604225,0.029919292777776718,0.031045973300933838,0.031200041994452477,0.030004333704710007,0.02990070730447769,0.03207433968782425,0.030064839869737625,0.030096203088760376,0.030117852613329887,0.030691899359226227,0.030792294070124626,0.03079044073820114,0.031007934361696243,0.030676089227199554,0.03129599988460541,0.03140353783965111,0.030557936057448387,0.030692005529999733,0.030789224430918694,0.03086795285344124,0.03124484047293663,0.03212500736117363,0.03159549832344055,0.030524354428052902,0.0325586274266243,0.03079194575548172,0.03085142932832241,0.030854269862174988,0.030028097331523895,0.02926918864250183,0.029105739668011665,0.030161242932081223,0.030164986848831177
MCE,0.2711065411567688,0.271276593208313,0.27387428283691406,0.23415589332580566,0.21804100275039673,0.2255149781703949,0.2937344014644623,0.2799810469150543,0.2713109254837036,0.27254772186279297,0.28218400478363037,0.2915942072868347,0.2916976809501648,0.13097918033599854,0.23110753297805786,0.2896004021167755,0.27217406034469604,0.28097689151763916,0.2678304612636566,0.378216952085495,0.20663943886756897,0.2745702862739563,0.2965635657310486,0.21708685159683228,0.27110424637794495,0.2710159420967102,0.270935982465744,0.265956312417984,0.2676348090171814,0.26277345418930054,0.26214420795440674,0.28165310621261597,0.2711399495601654,0.2709895968437195,0.2718494236469269,0.2632099986076355,0.2450280487537384,0.22528761625289917,0.27506697177886963,0.26686060428619385,0.27136021852493286,0.27138954401016235,0.27290838956832886,0.13464879989624023,0.2613370418548584,0.2849712371826172,0.29370275139808655,0.29061394929885864
OOD,0.37533998489379883,0.37538930773735046,0.3747009038925171,0.3764422833919525,0.38414859771728516,0.3847540318965912,0.37532341480255127,0.381210058927536,0.37537872791290283,0.37560638785362244,0.37724271416664124,0.3723951578140259,0.38783401250839233,0.3873397707939148,0.37535911798477173,0.3901709020137787,0.3755659759044647,0.3771410286426544,0.3803231716156006,0.38201072812080383,0.39381954073905945,0.3839733600616455,0.4019094705581665,0.3813796043395996,0.3753426671028137,0.37534114718437195,0.3753206431865692,0.37540096044540405,0.3756355345249176,0.37632304430007935,0.3736876845359802,0.3738830089569092,0.37534213066101074,0.37532225251197815,0.3755115270614624,0.37610530853271484,0.3760981857776642,0.37471213936805725,0.3819900155067444,0.3741067051887512,0.3753640949726105,0.37566128373146057,0.378587543964386,0.37334486842155457,0.3881537616252899,0.3969418704509735,0.4005085527896881,0.3950454592704773
