,"K=10, T=1, prior_sigma=1e-06","K=10, T=1, prior_sigma=1e-05","K=10, T=1, prior_sigma=0.0001","K=10, T=1, prior_sigma=0.001","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1e-06","K=100, T=1, prior_sigma=1e-05","K=100, T=1, prior_sigma=0.0001","K=100, T=1, prior_sigma=0.001","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=10","K=1000, T=1, prior_sigma=1e-06","K=1000, T=1, prior_sigma=1e-05","K=1000, T=1, prior_sigma=0.0001","K=1000, T=1, prior_sigma=0.001","K=1000, T=1, prior_sigma=0.01","K=1000, T=1, prior_sigma=0.1","K=1000, T=1, prior_sigma=1","K=1000, T=1, prior_sigma=10","K=10, T=200, prior_sigma=1e-06","K=10, T=200, prior_sigma=1e-05","K=10, T=200, prior_sigma=0.0001","K=10, T=200, prior_sigma=0.001","K=10, T=200, prior_sigma=0.01","K=10, T=200, prior_sigma=0.1","K=10, T=200, prior_sigma=1","K=10, T=200, prior_sigma=10","K=100, T=20, prior_sigma=1e-06","K=100, T=20, prior_sigma=1e-05","K=100, T=20, prior_sigma=0.0001","K=100, T=20, prior_sigma=0.001","K=100, T=20, prior_sigma=0.01","K=100, T=20, prior_sigma=0.1","K=100, T=20, prior_sigma=1","K=100, T=20, prior_sigma=10","K=1000, T=2, prior_sigma=1e-06","K=1000, T=2, prior_sigma=1e-05","K=1000, T=2, prior_sigma=0.0001","K=1000, T=2, prior_sigma=0.001","K=1000, T=2, prior_sigma=0.01","K=1000, T=2, prior_sigma=0.1","K=1000, T=2, prior_sigma=1","K=1000, T=2, prior_sigma=10"
Accuracy,0.9894,0.9894,0.9894,0.9893,0.9894,0.9894,0.9895,0.9893,0.9894,0.9894,0.9894,0.9896,0.9898,0.9897,0.9894,0.9897,0.9894,0.9894,0.9898,0.9907,0.9907,0.9907,0.9912,0.9907,0.9894,0.9894,0.9894,0.9895,0.9894,0.9892,0.9892,0.9893,0.9894,0.9894,0.9894,0.9894,0.9898,0.9895,0.9894,0.9897,0.9894,0.9894,0.9894,0.9901,0.9901,0.9909,0.9899,0.9901
Entropy,0.023253222927451134,0.023252539336681366,0.023237431421875954,0.02322342060506344,0.02321258932352066,0.02319546788930893,0.023126551881432533,0.02317804843187332,0.023253479972481728,0.023250427097082138,0.023221757262945175,0.0229507964104414,0.022866519168019295,0.022670928388834,0.022940630093216896,0.022824527695775032,0.023248769342899323,0.02320544607937336,0.022850485518574715,0.02175445854663849,0.02168899215757847,0.020936742424964905,0.020665297284722328,0.021005015820264816,0.02325328253209591,0.02325393073260784,0.023250872269272804,0.02326846495270729,0.02327808365225792,0.023167837411165237,0.023317687213420868,0.023249462246894836,0.023253096267580986,0.023254306986927986,0.023261336609721184,0.023324519395828247,0.023128433153033257,0.023311711847782135,0.02300381101667881,0.022829921916127205,0.023251254111528397,0.02323615737259388,0.023010918870568275,0.02272038348019123,0.022345058619976044,0.021508540958166122,0.022017043083906174,0.022656386718153954
LPD,-0.030716365203261375,-0.030716000124812126,-0.0307118222117424,-0.030542638152837753,-0.030674420297145844,-0.030562762171030045,-0.030643627047538757,-0.030686376616358757,-0.0307167936116457,-0.030706292018294334,-0.030641814693808556,-0.03011992760002613,-0.029914192855358124,-0.030083663761615753,-0.02960127405822277,-0.02984566055238247,-0.030708791688084602,-0.0306218434125185,-0.02994586154818535,-0.02696317620575428,-0.02589952014386654,-0.02731565572321415,-0.026345079764723778,-0.0270568635314703,-0.03071639873087406,-0.03071577660739422,-0.03071533516049385,-0.030760478228330612,-0.03069375455379486,-0.030769798904657364,-0.030752165243029594,-0.030704952776432037,-0.030716508626937866,-0.030717119574546814,-0.030672360211610794,-0.030904240906238556,-0.030359933152794838,-0.03089386224746704,-0.03078581765294075,-0.030297258868813515,-0.03071124106645584,-0.03068651258945465,-0.0302922073751688,-0.029536766931414604,-0.0288727767765522,-0.02741401083767414,-0.027976643294095993,-0.02909674681723118
ECE,0.003595677437260747,0.003595738671720028,0.0036003123968839645,0.0035618972033262253,0.003461558371782303,0.0032336702570319176,0.003760429099202156,0.0037502667400985956,0.003595598042011261,0.003596310270950198,0.0034034079872071743,0.003318164963275194,0.0036204843781888485,0.0032769939862191677,0.003129255259409547,0.0031282054260373116,0.003597317961975932,0.0033690067939460278,0.003259870223701,0.0027777180075645447,0.002384426072239876,0.002699855715036392,0.002656611381098628,0.002914709970355034,0.0035958238877356052,0.00359522458165884,0.003596255322918296,0.0036367098800837994,0.00354526424780488,0.0033161991741508245,0.003466574940830469,0.0035451739095151424,0.0035960611421614885,0.0035952990874648094,0.003693282138556242,0.0034715740475803614,0.003491175826638937,0.0035730202216655016,0.0032459122594445944,0.0031950497068464756,0.0035964897833764553,0.0035003419034183025,0.003202174324542284,0.0035277060233056545,0.0032022579107433558,0.002923649037256837,0.003227595705538988,0.0032761713955551386
MCE,0.1889026165008545,0.1889004111289978,0.18923163414001465,0.3861120343208313,0.17780184745788574,0.38758403062820435,0.180392324924469,0.3892980217933655,0.18890196084976196,0.1888250708580017,0.1884816288948059,0.6165144443511963,0.6131212711334229,0.1882144808769226,0.3966601490974426,0.16382622718811035,0.18889349699020386,0.178289532661438,0.3808623254299164,0.38381004333496094,0.6069255471229553,0.3848639130592346,0.6174416542053223,0.35275912284851074,0.1889062523841858,0.18890613317489624,0.18893331289291382,0.2566136121749878,0.19906365871429443,0.3863222002983093,0.14860492944717407,0.6182812452316284,0.18890196084976196,0.18886256217956543,0.20945799350738525,0.14658939838409424,0.38295435905456543,0.28223100304603577,0.621691107749939,0.6188309192657471,0.1889629364013672,0.18902331590652466,0.1412460207939148,0.1977730691432953,0.2625209093093872,0.12252885103225708,0.1702415645122528,0.4177073538303375
OOD,1.2168203592300415,1.2167797088623047,1.216672420501709,1.2187135219573975,1.21560537815094,1.2170071601867676,1.2140593528747559,1.2163492441177368,1.2168020009994507,1.2168281078338623,1.2172024250030518,1.218966007232666,1.211823582649231,1.2102220058441162,1.2274090051651,1.2181506156921387,1.2168830633163452,1.2167099714279175,1.2162452936172485,1.2162226438522339,1.239498257637024,1.1817591190338135,1.1732876300811768,1.217837929725647,1.2168229818344116,1.216802716255188,1.2167222499847412,1.2179946899414062,1.217445731163025,1.2160038948059082,1.2162011861801147,1.2164815664291382,1.2167835235595703,1.216827154159546,1.2167843580245972,1.217347264289856,1.2122001647949219,1.2151885032653809,1.2201176881790161,1.2109404802322388,1.2168607711791992,1.2167072296142578,1.2168136835098267,1.2117990255355835,1.1898359060287476,1.1794761419296265,1.2106842994689941,1.1731876134872437
