,"K=10, T=1, prior_sigma=10","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.001","K=10, T=1, prior_sigma=0.0001","K=10, T=1, prior_sigma=1e-05","K=10, T=1, prior_sigma=1e-06"
Accuracy,0.9068,0.9072,0.9081,0.9101,0.9094,0.9077,0.9065,0.9059
Entropy,0.10648007690906525,0.10886071622371674,0.11759837716817856,0.13439691066741943,0.15334491431713104,0.1631743609905243,0.16676472127437592,0.1685125082731247
LPD,-0.3585260212421417,-0.34901919960975647,-0.32460761070251465,-0.2988305687904358,-0.2836003005504608,-0.28067541122436523,-0.282898485660553,-0.2871733605861664
ECE,0.04982246086001396,0.04859787970781326,0.04488940164446831,0.03753769025206566,0.03209739178419113,0.030770285055041313,0.030968770384788513,0.03058568201959133
MCE,0.17289692163467407,0.1745133399963379,0.7302336692810059,0.2896806001663208,0.2655940055847168,0.29495424032211304,0.28639423847198486,0.28032055497169495
OOD,0.4716615080833435,0.4763629734516144,0.4678865075111389,0.43015405535697937,0.39793506264686584,0.38287919759750366,0.3768194317817688,0.37543705105781555
