,"K=10, T=2500, prior_sigma=10","K=10, T=2500, prior_sigma=1","K=10, T=2500, prior_sigma=0.1","K=10, T=2500, prior_sigma=0.01","K=10, T=2500, prior_sigma=0.001","K=10, T=2500, prior_sigma=0.0001","K=10, T=2500, prior_sigma=1e-05","K=10, T=2500, prior_sigma=1e-06"
Accuracy,0.9037,0.9013,0.904,0.9073,0.9058,0.9058,0.9055,0.9054
Entropy,0.5144948363304138,0.7879870533943176,0.6619427800178528,0.24073868989944458,0.1763748973608017,0.1696433126926422,0.1690058708190918,0.1690206527709961
LPD,-0.32300320267677307,-0.406097412109375,-0.35924214124679565,-0.2666296660900116,-0.2839893102645874,-0.2881839871406555,-0.28857722878456116,-0.28885677456855774
ECE,0.07407103478908539,0.1499907374382019,0.11752107739448547,0.005812563002109528,0.027648823335766792,0.0301743783056736,0.030727017670869827,0.030955731868743896
MCE,0.13528388738632202,0.2297390103340149,0.19169890880584717,0.25836512446403503,0.2790411710739136,0.2802317440509796,0.27068203687667847,0.2711826264858246
OOD,1.4940677881240845,1.6296968460083008,1.477281093597412,0.7226267457008362,0.42436960339546204,0.3801874816417694,0.3756546378135681,0.37511783838272095
