,"K=1000, T=25, prior_sigma=10","K=1000, T=25, prior_sigma=1","K=1000, T=25, prior_sigma=0.1","K=1000, T=25, prior_sigma=0.01","K=1000, T=25, prior_sigma=0.001","K=1000, T=25, prior_sigma=0.0001","K=1000, T=25, prior_sigma=1e-05","K=1000, T=25, prior_sigma=1e-06"
Accuracy,0.8581,0.888,0.9065,0.9097,0.9081,0.906,0.9055,0.9055
Entropy,0.5486615896224976,0.4551076889038086,0.30876725912094116,0.20825287699699402,0.17203158140182495,0.1685563176870346,0.16883675754070282,0.1689910590648651
LPD,-0.39831072092056274,-0.32268500328063965,-0.26255345344543457,-0.26003000140190125,-0.2752944827079773,-0.283774197101593,-0.2878376245498657,-0.28876829147338867
ECE,0.05625549331307411,0.04903776943683624,0.01983686350286007,0.013527773320674896,0.027057195082306862,0.0309830941259861,0.03088284097611904,0.030864126980304718
MCE,0.19153796136379242,0.1187928318977356,0.11606438457965851,0.25010913610458374,0.2707359790802002,0.28244492411613464,0.2821573317050934,0.2715907096862793
OOD,1.2255891561508179,1.2672958374023438,1.1719647645950317,0.774174690246582,0.4516125023365021,0.3848539888858795,0.37617048621177673,0.37517493963241577
