,"K=100, T=250, prior_sigma=10","K=100, T=250, prior_sigma=1","K=100, T=250, prior_sigma=0.1","K=100, T=250, prior_sigma=0.01","K=100, T=250, prior_sigma=0.001","K=100, T=250, prior_sigma=0.0001","K=100, T=250, prior_sigma=1e-05","K=100, T=250, prior_sigma=1e-06"
Accuracy,0.9055,0.9033,0.9051,0.9077,0.9067,0.9057,0.9054,0.9054
Entropy,0.2500878572463989,0.34717729687690735,0.36194753646850586,0.2276180535554886,0.17535540461540222,0.169533371925354,0.16898784041404724,0.16901716589927673
LPD,-0.2897070348262787,-0.2866274416446686,-0.27818891406059265,-0.2644948959350586,-0.280729204416275,-0.28759950399398804,-0.2885090112686157,-0.2888476550579071
ECE,0.004975283518433571,0.028433972969651222,0.03344195336103439,0.008018511347472668,0.027250617742538452,0.030385702848434448,0.030834177508950233,0.030957158654928207
MCE,0.09099629521369934,0.0652167797088623,0.12636961042881012,0.14581194519996643,0.2779182195663452,0.27977994084358215,0.270856112241745,0.2712094783782959
OOD,1.1632083654403687,1.2721116542816162,1.2463514804840088,0.7253947257995605,0.4276743531227112,0.38058000802993774,0.3756762444972992,0.3751167356967926
