         ,"K=10, T=200, low_rank=0, prior_var=1e-06" ,"K=10, T=200, low_rank=0, prior_var=1e-05" ,"K=10, T=200, low_rank=0, prior_var=0.0001" ,"K=10, T=200, low_rank=0, prior_var=0.001" ,"K=10, T=200, low_rank=0, prior_var=0.01" ,"K=10, T=200, low_rank=0, prior_var=0.1" ,"K=10, T=200, low_rank=0, prior_var=1" ,"K=10, T=200, low_rank=0, prior_var=10" ,"K=10, T=200, low_rank=1, prior_var=1e-06" ,"K=10, T=200, low_rank=1, prior_var=1e-05" ,"K=10, T=200, low_rank=1, prior_var=0.0001" ,"K=10, T=200, low_rank=1, prior_var=0.001" ,"K=10, T=200, low_rank=1, prior_var=0.01" ,"K=10, T=200, low_rank=1, prior_var=0.1" ,"K=10, T=200, low_rank=1, prior_var=1" ,"K=10, T=200, low_rank=1, prior_var=10" ,"K=10, T=200, low_rank=2, prior_var=1e-06" ,"K=10, T=200, low_rank=2, prior_var=1e-05" ,"K=10, T=200, low_rank=2, prior_var=0.0001" ,"K=10, T=200, low_rank=2, prior_var=0.001" ,"K=10, T=200, low_rank=2, prior_var=0.01" ,"K=10, T=200, low_rank=2, prior_var=0.1" ,"K=10, T=200, low_rank=2, prior_var=1" ,"K=10, T=200, low_rank=2, prior_var=10" ,"K=10, T=200, low_rank=5, prior_var=1e-06" ,"K=10, T=200, low_rank=5, prior_var=1e-05" ,"K=10, T=200, low_rank=5, prior_var=0.0001" ,"K=10, T=200, low_rank=5, prior_var=0.001" ,"K=10, T=200, low_rank=5, prior_var=0.01" ,"K=10, T=200, low_rank=5, prior_var=0.1" ,"K=10, T=200, low_rank=5, prior_var=1" ,"K=10, T=200, low_rank=5, prior_var=10" ,"K=10, T=200, low_rank=10, prior_var=1e-06" ,"K=10, T=200, low_rank=10, prior_var=1e-05" ,"K=10, T=200, low_rank=10, prior_var=0.0001" ,"K=10, T=200, low_rank=10, prior_var=0.001" ,"K=10, T=200, low_rank=10, prior_var=0.01" ,"K=10, T=200, low_rank=10, prior_var=0.1" ,"K=10, T=200, low_rank=10, prior_var=1" ,"K=10, T=200, low_rank=10, prior_var=10"
Accuracy ,0.9894                                     ,0.9894                                     ,0.9894                                      ,0.9894                                     ,0.9894                                    ,0.9892                                   ,0.9896                                 ,0.9896                                  ,0.9894                                     ,0.9894                                     ,0.9894                                      ,0.9894                                     ,0.9893                                    ,0.9893                                   ,0.9897                                 ,0.9901                                  ,0.9894                                     ,0.9894                                     ,0.9894                                      ,0.9894                                     ,0.9893                                    ,0.9893                                   ,0.9896                                 ,0.9901                                  ,0.9894                                     ,0.9894                                     ,0.9894                                      ,0.9894                                     ,0.9894                                    ,0.9893                                   ,0.9895                                 ,0.9896                                  ,0.9894                                      ,0.9894                                      ,0.9894                                       ,0.9894                                      ,0.9894                                     ,0.9893                                    ,0.9894                                  ,0.9897
Entropy  ,0.0233                                     ,0.0233                                     ,0.0233                                      ,0.0233                                     ,0.0233                                    ,0.0238                                   ,0.0278                                 ,0.0396                                  ,0.0233                                     ,0.0233                                     ,0.0233                                      ,0.0233                                     ,0.0233                                    ,0.0238                                   ,0.028                                  ,0.0402                                  ,0.0233                                     ,0.0233                                     ,0.0233                                      ,0.0233                                     ,0.0233                                    ,0.0238                                   ,0.028                                  ,0.04                                    ,0.0233                                     ,0.0233                                     ,0.0233                                      ,0.0233                                     ,0.0233                                    ,0.0238                                   ,0.0278                                 ,0.0384                                  ,0.0233                                      ,0.0233                                      ,0.0233                                       ,0.0233                                      ,0.0233                                     ,0.0238                                    ,0.0278                                  ,0.0387
LPD      ,-0.0307                                    ,-0.0307                                    ,-0.0307                                     ,-0.0307                                    ,-0.0307                                   ,-0.0305                                  ,-0.0294                                ,-0.0295                                 ,-0.0307                                    ,-0.0307                                    ,-0.0307                                     ,-0.0307                                    ,-0.0307                                   ,-0.0305                                  ,-0.0294                                ,-0.0297                                 ,-0.0307                                    ,-0.0307                                    ,-0.0307                                     ,-0.0307                                    ,-0.0307                                   ,-0.0305                                  ,-0.0294                                ,-0.0296                                 ,-0.0307                                    ,-0.0307                                    ,-0.0307                                     ,-0.0307                                    ,-0.0307                                   ,-0.0305                                  ,-0.0297                                ,-0.0295                                 ,-0.0307                                     ,-0.0307                                     ,-0.0307                                      ,-0.0307                                     ,-0.0307                                    ,-0.0306                                   ,-0.0298                                 ,-0.0296
ECE      ,0.0036                                     ,0.0036                                     ,0.0036                                      ,0.0036                                     ,0.0035                                    ,0.0035                                   ,0.0021                                 ,0.0037                                  ,0.0036                                     ,0.0036                                     ,0.0036                                      ,0.0037                                     ,0.0035                                    ,0.0034                                   ,0.0021                                 ,0.004                                   ,0.0036                                     ,0.0036                                     ,0.0036                                      ,0.0037                                     ,0.0035                                    ,0.0034                                   ,0.002                                  ,0.0038                                  ,0.0036                                     ,0.0036                                     ,0.0035                                      ,0.0035                                     ,0.0035                                    ,0.0035                                   ,0.0018                                 ,0.0027                                  ,0.0036                                      ,0.0036                                      ,0.0036                                       ,0.0035                                      ,0.0035                                     ,0.0035                                    ,0.0018                                  ,0.0026
MCE      ,0.1889                                     ,0.1889                                     ,0.1889                                      ,0.1889                                     ,0.1774                                    ,0.3841                                   ,0.3752                                 ,0.3692                                  ,0.1889                                     ,0.1889                                     ,0.1889                                      ,0.1887                                     ,0.1782                                    ,0.1838                                   ,0.1574                                 ,0.381                                   ,0.1889                                     ,0.1889                                     ,0.1889                                      ,0.1887                                     ,0.1782                                    ,0.1838                                   ,0.129                                  ,0.307                                   ,0.1889                                     ,0.1889                                     ,0.1889                                      ,0.1888                                     ,0.1882                                    ,0.1717                                   ,0.2905                                 ,0.2281                                  ,0.1889                                      ,0.1889                                      ,0.1889                                       ,0.1887                                      ,0.1883                                     ,0.1642                                    ,0.1323                                  ,0.2945
OOD      ,1.2168                                     ,1.2168                                     ,1.2168                                      ,1.2169                                     ,1.2174                                    ,1.2216                                   ,1.2526                                 ,1.3254                                  ,1.2168                                     ,1.2168                                     ,1.2168                                      ,1.2169                                     ,1.2175                                    ,1.2224                                   ,1.2548                                 ,1.3315                                  ,1.2168                                     ,1.2168                                     ,1.2168                                      ,1.2169                                     ,1.2176                                    ,1.2224                                   ,1.2547                                 ,1.3324                                  ,1.2168                                     ,1.2169                                     ,1.2169                                      ,1.2171                                     ,1.2175                                    ,1.2208                                   ,1.2505                                 ,1.3266                                  ,1.2168                                      ,1.2169                                      ,1.217                                        ,1.217                                       ,1.2177                                     ,1.222                                     ,1.253                                   ,1.3259
