,"K=100, T=1, low_rank=0, prior_var=1e-06","K=100, T=1, low_rank=0, prior_var=1e-05","K=100, T=1, low_rank=0, prior_var=0.0001","K=100, T=1, low_rank=0, prior_var=0.001","K=100, T=1, low_rank=0, prior_var=0.01","K=100, T=1, low_rank=0, prior_var=0.1","K=100, T=1, low_rank=0, prior_var=1","K=100, T=1, low_rank=0, prior_var=10","K=100, T=1, low_rank=1, prior_var=1e-06","K=100, T=1, low_rank=1, prior_var=1e-05","K=100, T=1, low_rank=1, prior_var=0.0001","K=100, T=1, low_rank=1, prior_var=0.001","K=100, T=1, low_rank=1, prior_var=0.01","K=100, T=1, low_rank=1, prior_var=0.1","K=100, T=1, low_rank=1, prior_var=1","K=100, T=1, low_rank=1, prior_var=10","K=100, T=1, low_rank=2, prior_var=1e-06","K=100, T=1, low_rank=2, prior_var=1e-05","K=100, T=1, low_rank=2, prior_var=0.0001","K=100, T=1, low_rank=2, prior_var=0.001","K=100, T=1, low_rank=2, prior_var=0.01","K=100, T=1, low_rank=2, prior_var=0.1","K=100, T=1, low_rank=2, prior_var=1","K=100, T=1, low_rank=2, prior_var=10","K=100, T=1, low_rank=5, prior_var=1e-06","K=100, T=1, low_rank=5, prior_var=1e-05","K=100, T=1, low_rank=5, prior_var=0.0001","K=100, T=1, low_rank=5, prior_var=0.001","K=100, T=1, low_rank=5, prior_var=0.01","K=100, T=1, low_rank=5, prior_var=0.1","K=100, T=1, low_rank=5, prior_var=1","K=100, T=1, low_rank=5, prior_var=10","K=100, T=1, low_rank=10, prior_var=1e-06","K=100, T=1, low_rank=10, prior_var=1e-05","K=100, T=1, low_rank=10, prior_var=0.0001","K=100, T=1, low_rank=10, prior_var=0.001","K=100, T=1, low_rank=10, prior_var=0.01","K=100, T=1, low_rank=10, prior_var=0.1","K=100, T=1, low_rank=10, prior_var=1","K=100, T=1, low_rank=10, prior_var=10"
Accuracy,0.9894,0.9894,0.9894,0.9895,0.9903,0.9915,0.9919,0.9918,0.9894,0.9894,0.9894,0.9894,0.9903,0.9912,0.9917,0.9918,0.9894,0.9894,0.9894,0.9894,0.9903,0.9912,0.9917,0.9917,0.9894,0.9894,0.9894,0.9895,0.9903,0.9912,0.9917,0.9918,0.9894,0.9894,0.9894,0.9894,0.9903,0.9912,0.9917,0.9918
Entropy,0.0233,0.0232,0.0232,0.0229,0.0218,0.0209,0.0206,0.0206,0.0233,0.0233,0.0232,0.0229,0.0218,0.021,0.0207,0.0207,0.0233,0.0233,0.0232,0.0229,0.0218,0.021,0.0207,0.0207,0.0233,0.0233,0.0232,0.0229,0.0219,0.021,0.0208,0.0208,0.0233,0.0233,0.0232,0.0229,0.0219,0.021,0.0209,0.0209
LPD,-0.0307,-0.0307,-0.0306,-0.03,-0.0275,-0.0248,-0.0241,-0.024,-0.0307,-0.0307,-0.0307,-0.0301,-0.0277,-0.025,-0.0243,-0.0242,-0.0307,-0.0307,-0.0307,-0.0301,-0.0277,-0.025,-0.0243,-0.0242,-0.0307,-0.0307,-0.0307,-0.0301,-0.0277,-0.025,-0.0243,-0.0242,-0.0307,-0.0307,-0.0307,-0.0301,-0.0276,-0.025,-0.0243,-0.0242
ECE,0.0036,0.0036,0.0032,0.0033,0.0031,0.0021,0.002,0.0023,0.0036,0.0035,0.0033,0.0034,0.0034,0.0023,0.0026,0.0026,0.0036,0.0035,0.0033,0.0034,0.0034,0.0023,0.0027,0.0024,0.0035,0.0035,0.0034,0.0033,0.0033,0.0023,0.0028,0.0025,0.0036,0.0035,0.0034,0.0034,0.0033,0.0022,0.0024,0.0025
MCE,0.1889,0.1889,0.167,0.6183,0.1482,0.2225,0.6016,0.6187,0.1889,0.1889,0.1684,0.6189,0.1616,0.6174,0.1479,0.1759,0.1889,0.1889,0.1684,0.6189,0.1615,0.6172,0.2134,0.1493,0.1889,0.1889,0.1783,0.6192,0.1447,0.6211,0.185,0.1784,0.1889,0.1889,0.1684,0.6195,0.1566,0.6272,0.147,0.1829
OOD,1.2168,1.2168,1.2168,1.2168,1.2142,1.1939,1.1766,1.1737,1.2169,1.2169,1.2171,1.2177,1.2161,1.1966,1.1792,1.1762,1.2169,1.2169,1.2171,1.2178,1.2162,1.1965,1.1792,1.1765,1.2169,1.217,1.2171,1.2178,1.2161,1.1962,1.1795,1.1768,1.2169,1.2169,1.2171,1.2178,1.2167,1.1972,1.1808,1.1783
