,"K=10, T=1, prior_sigma=1e-06","K=10, T=1, prior_sigma=1e-05","K=10, T=1, prior_sigma=0.0001","K=10, T=1, prior_sigma=0.001","K=10, T=1, prior_sigma=0.01","K=10, T=1, prior_sigma=0.1","K=10, T=1, prior_sigma=1","K=10, T=1, prior_sigma=10","K=100, T=1, prior_sigma=1e-06","K=100, T=1, prior_sigma=1e-05","K=100, T=1, prior_sigma=0.0001","K=100, T=1, prior_sigma=0.001","K=100, T=1, prior_sigma=0.01","K=100, T=1, prior_sigma=0.1","K=100, T=1, prior_sigma=1","K=100, T=1, prior_sigma=10","K=1000, T=1, prior_sigma=1e-06","K=1000, T=1, prior_sigma=1e-05","K=1000, T=1, prior_sigma=0.0001","K=1000, T=1, prior_sigma=0.001","K=1000, T=1, prior_sigma=0.01","K=1000, T=1, prior_sigma=0.1","K=1000, T=1, prior_sigma=1","K=1000, T=1, prior_sigma=10","K=10, T=2500, prior_sigma=1e-06","K=10, T=2500, prior_sigma=1e-05","K=10, T=2500, prior_sigma=0.0001","K=10, T=2500, prior_sigma=0.001","K=10, T=2500, prior_sigma=0.01","K=10, T=2500, prior_sigma=0.1","K=10, T=2500, prior_sigma=1","K=10, T=2500, prior_sigma=10","K=100, T=250, prior_sigma=1e-06","K=100, T=250, prior_sigma=1e-05","K=100, T=250, prior_sigma=0.0001","K=100, T=250, prior_sigma=0.001","K=100, T=250, prior_sigma=0.01","K=100, T=250, prior_sigma=0.1","K=100, T=250, prior_sigma=1","K=100, T=250, prior_sigma=10","K=1000, T=25, prior_sigma=1e-06","K=1000, T=25, prior_sigma=1e-05","K=1000, T=25, prior_sigma=0.0001","K=1000, T=25, prior_sigma=0.001","K=1000, T=25, prior_sigma=0.01","K=1000, T=25, prior_sigma=0.1","K=1000, T=25, prior_sigma=1","K=1000, T=25, prior_sigma=10"
Accuracy,0.9055,0.9055,0.9055,0.9056,0.9063,0.906,0.9058,0.9053,0.9054,0.9053,0.9059,0.9074,0.9082,0.9079,0.9073,0.9094,0.9055,0.9056,0.9086,0.9104,0.9107,0.9109,0.9088,0.9103,0.9055,0.9055,0.9055,0.9055,0.9056,0.9058,0.9048,0.9053,0.9055,0.9055,0.9055,0.9055,0.9051,0.9054,0.9049,0.9059,0.9054,0.9054,0.9057,0.9068,0.9078,0.9055,0.907,0.9034
Entropy,0.16906239092350006,0.16902726888656616,0.16903047263622284,0.16826678812503815,0.16899318993091583,0.1691153347492218,0.16947796940803528,0.1677011400461197,0.16905641555786133,0.1690150797367096,0.16840143501758575,0.16550473868846893,0.16346575319766998,0.16474047303199768,0.1634596735239029,0.1647101193666458,0.16899220645427704,0.16828873753547668,0.16445794701576233,0.1574997752904892,0.15500663220882416,0.15672340989112854,0.15572018921375275,0.15670670568943024,0.16906268894672394,0.16905902326107025,0.1690652221441269,0.16923627257347107,0.1686292439699173,0.16994209587574005,0.1691051721572876,0.16898979246616364,0.16906386613845825,0.16907387971878052,0.16908620297908783,0.16873005032539368,0.17029446363449097,0.1680225431919098,0.16720879077911377,0.16922731697559357,0.16906598210334778,0.16908839344978333,0.16929472982883453,0.1684560775756836,0.16485226154327393,0.1712905913591385,0.16691003739833832,0.16648069024085999
LPD,-0.28878316283226013,-0.2887524366378784,-0.2886071801185608,-0.2863827049732208,-0.28508394956588745,-0.2836924195289612,-0.2855701148509979,-0.2859708368778229,-0.2887316942214966,-0.28847143054008484,-0.2853758931159973,-0.28052738308906555,-0.2781538963317871,-0.2777829170227051,-0.2797498106956482,-0.27761319279670715,-0.28836745023727417,-0.2854967713356018,-0.2793082892894745,-0.27522826194763184,-0.2760145962238312,-0.27503377199172974,-0.27696818113327026,-0.27609390020370483,-0.288786917924881,-0.28877949714660645,-0.28878626227378845,-0.2885845899581909,-0.28911492228507996,-0.2883162498474121,-0.2891089916229248,-0.28927719593048096,-0.2887832820415497,-0.28877565264701843,-0.2887755334377289,-0.28824299573898315,-0.2880339026451111,-0.2869361937046051,-0.2889808118343353,-0.2888050079345703,-0.2887692153453827,-0.2886158525943756,-0.2866307497024536,-0.2808492183685303,-0.28128573298454285,-0.2834751009941101,-0.2841385006904602,-0.2863193154335022
ECE,0.030693061649799347,0.030704963952302933,0.03070870414376259,0.030793197453022003,0.02987140417098999,0.03019346296787262,0.030660830438137054,0.03145181015133858,0.030792606994509697,0.030837256461381912,0.030445626005530357,0.03008202835917473,0.02994501404464245,0.02975035086274147,0.030558492988348007,0.030885156244039536,0.030644144862890244,0.030881954357028008,0.02997518889605999,0.030345378443598747,0.030405333265662193,0.029365278780460358,0.03224916756153107,0.030185207724571228,0.03069205954670906,0.030693016946315765,0.030691562220454216,0.03075418435037136,0.03065800480544567,0.030565978959202766,0.03174179419875145,0.0310620479285717,0.03069181554019451,0.03068898804485798,0.03079402446746826,0.031021686270833015,0.030559441074728966,0.03187792748212814,0.03243882581591606,0.030418410897254944,0.030789684504270554,0.031003138050436974,0.030684951692819595,0.030283253639936447,0.030746806412935257,0.029735993593931198,0.029909133911132812,0.0331985205411911
MCE,0.2710987329483032,0.2711333632469177,0.2679511308670044,0.27965423464775085,0.12983101606369019,0.28174734115600586,0.28604090213775635,0.27738597989082336,0.27119284868240356,0.2720614969730377,0.2633872330188751,0.2711862325668335,0.27653077244758606,0.12032930552959442,0.2805039584636688,0.2251484990119934,0.27277159690856934,0.2801305651664734,0.26684412360191345,0.2395566701889038,0.2884034812450409,0.24735786020755768,0.12343986332416534,0.11666756868362427,0.2710972726345062,0.27105551958084106,0.27065813541412354,0.270898699760437,0.2637673020362854,0.2689177691936493,0.2595754861831665,0.2799212634563446,0.27109503746032715,0.2709693908691406,0.2692983150482178,0.2716471552848816,0.2686147391796112,0.2765422463417053,0.28103020787239075,0.2808876931667328,0.27128392457962036,0.2706812024116516,0.27411961555480957,0.28321167826652527,0.18794746696949005,0.27656933665275574,0.16086401045322418,0.28283149003982544
OOD,0.37534037232398987,0.37535297870635986,0.37547746300697327,0.37321481108665466,0.37822839617729187,0.3785855770111084,0.3782259523868561,0.371186226606369,0.3753665089607239,0.3754947781562805,0.37709149718284607,0.37895819544792175,0.3711579144001007,0.38642460107803345,0.3935645520687103,0.38557830452919006,0.3754810094833374,0.37657448649406433,0.3829061985015869,0.3978008031845093,0.3832687437534332,0.3931407630443573,0.3967892825603485,0.38428589701652527,0.37533870339393616,0.37534257769584656,0.3754105865955353,0.37622421979904175,0.3756665289402008,0.3757251501083374,0.3758355975151062,0.3737788200378418,0.3753499984741211,0.37542036175727844,0.3754892349243164,0.3763117492198944,0.3739222288131714,0.3786593973636627,0.3762523829936981,0.3753207325935364,0.3753645122051239,0.3757491707801819,0.3779391646385193,0.38597074151039124,0.3860454559326172,0.39069950580596924,0.3976411521434784,0.38674286007881165
