,"K=100, T=250, low_rank=0, prior_var=1e-06","K=100, T=250, low_rank=0, prior_var=1e-05","K=100, T=250, low_rank=0, prior_var=0.0001","K=100, T=250, low_rank=0, prior_var=0.001","K=100, T=250, low_rank=0, prior_var=0.01","K=100, T=250, low_rank=0, prior_var=0.1","K=100, T=250, low_rank=0, prior_var=1","K=100, T=250, low_rank=0, prior_var=10","K=100, T=250, low_rank=1, prior_var=1e-06","K=100, T=250, low_rank=1, prior_var=1e-05","K=100, T=250, low_rank=1, prior_var=0.0001","K=100, T=250, low_rank=1, prior_var=0.001","K=100, T=250, low_rank=1, prior_var=0.01","K=100, T=250, low_rank=1, prior_var=0.1","K=100, T=250, low_rank=1, prior_var=1","K=100, T=250, low_rank=1, prior_var=10","K=100, T=250, low_rank=2, prior_var=1e-06","K=100, T=250, low_rank=2, prior_var=1e-05","K=100, T=250, low_rank=2, prior_var=0.0001","K=100, T=250, low_rank=2, prior_var=0.001","K=100, T=250, low_rank=2, prior_var=0.01","K=100, T=250, low_rank=2, prior_var=0.1","K=100, T=250, low_rank=2, prior_var=1","K=100, T=250, low_rank=2, prior_var=10","K=100, T=250, low_rank=5, prior_var=1e-06","K=100, T=250, low_rank=5, prior_var=1e-05","K=100, T=250, low_rank=5, prior_var=0.0001","K=100, T=250, low_rank=5, prior_var=0.001","K=100, T=250, low_rank=5, prior_var=0.01","K=100, T=250, low_rank=5, prior_var=0.1","K=100, T=250, low_rank=5, prior_var=1","K=100, T=250, low_rank=5, prior_var=10","K=100, T=250, low_rank=10, prior_var=1e-06","K=100, T=250, low_rank=10, prior_var=1e-05","K=100, T=250, low_rank=10, prior_var=0.0001","K=100, T=250, low_rank=10, prior_var=0.001","K=100, T=250, low_rank=10, prior_var=0.01","K=100, T=250, low_rank=10, prior_var=0.1","K=100, T=250, low_rank=10, prior_var=1","K=100, T=250, low_rank=10, prior_var=10"
Accuracy,0.9054,0.9053,0.9053,0.9052,0.9057,0.9076,0.9092,0.9061,0.9055,0.9055,0.9054,0.9056,0.9061,0.9071,0.9091,0.9066,0.9055,0.9055,0.9054,0.9056,0.9063,0.907,0.9092,0.907,0.9054,0.9054,0.9054,0.9056,0.9062,0.9069,0.9088,0.9068,0.9054,0.9054,0.9054,0.9056,0.9062,0.9065,0.9085,0.9062
Entropy,0.1691,0.1691,0.1691,0.1693,0.1721,0.1959,0.2878,0.3508,0.1691,0.1691,0.1691,0.1695,0.1722,0.1949,0.2826,0.343,0.1691,0.1691,0.1691,0.1695,0.1722,0.1949,0.2822,0.3429,0.1691,0.1691,0.1691,0.1695,0.1722,0.1948,0.2807,0.3418,0.1691,0.1691,0.1691,0.1695,0.1722,0.1947,0.2782,0.3399
LPD,-0.2888,-0.2888,-0.2887,-0.2882,-0.2848,-0.2677,-0.2578,-0.2697,-0.2888,-0.2888,-0.2888,-0.2884,-0.2853,-0.2691,-0.2574,-0.2677,-0.2888,-0.2888,-0.2888,-0.2884,-0.2853,-0.269,-0.2573,-0.2677,-0.2888,-0.2888,-0.2888,-0.2884,-0.2852,-0.269,-0.2573,-0.2675,-0.2888,-0.2888,-0.2888,-0.2884,-0.2852,-0.2691,-0.2569,-0.2671
ECE,0.0309,0.0311,0.031,0.0312,0.0301,0.0197,0.0161,0.0338,0.0307,0.0307,0.0308,0.0304,0.0298,0.019,0.0144,0.0312,0.0307,0.0307,0.0308,0.0304,0.0299,0.0189,0.0145,0.0316,0.0308,0.0308,0.0308,0.0304,0.0301,0.019,0.0132,0.0312,0.0308,0.0308,0.0308,0.0304,0.0302,0.0195,0.0124,0.0308
MCE,0.2712,0.2713,0.2717,0.2735,0.2893,0.2854,0.0891,0.1397,0.2709,0.2708,0.2703,0.2695,0.2885,0.2768,0.1275,0.1545,0.2709,0.2708,0.2703,0.2695,0.2885,0.2768,0.3271,0.1196,0.271,0.2709,0.2704,0.27,0.2883,0.2745,0.2317,0.1197,0.2712,0.2712,0.2706,0.2701,0.288,0.2746,0.1247,0.1915
OOD,0.3754,0.3754,0.3757,0.3786,0.4047,0.5783,0.969,1.1236,0.3754,0.3754,0.3756,0.3785,0.4049,0.5802,0.9745,1.1251,0.3754,0.3754,0.3756,0.3785,0.405,0.5804,0.976,1.1239,0.3754,0.3754,0.3756,0.3785,0.405,0.5797,0.9807,1.1318,0.3753,0.3753,0.3756,0.3787,0.4059,0.5821,0.9834,1.1418
