,"K=100, T=1, low_rank=0, prior_var=1e-06","K=100, T=1, low_rank=0, prior_var=1e-05","K=100, T=1, low_rank=0, prior_var=0.0001","K=100, T=1, low_rank=0, prior_var=0.001","K=100, T=1, low_rank=0, prior_var=0.01","K=100, T=1, low_rank=0, prior_var=0.1","K=100, T=1, low_rank=0, prior_var=1","K=100, T=1, low_rank=0, prior_var=10","K=100, T=1, low_rank=1, prior_var=1e-06","K=100, T=1, low_rank=1, prior_var=1e-05","K=100, T=1, low_rank=1, prior_var=0.0001","K=100, T=1, low_rank=1, prior_var=0.001","K=100, T=1, low_rank=1, prior_var=0.01","K=100, T=1, low_rank=1, prior_var=0.1","K=100, T=1, low_rank=1, prior_var=1","K=100, T=1, low_rank=1, prior_var=10","K=100, T=1, low_rank=2, prior_var=1e-06","K=100, T=1, low_rank=2, prior_var=1e-05","K=100, T=1, low_rank=2, prior_var=0.0001","K=100, T=1, low_rank=2, prior_var=0.001","K=100, T=1, low_rank=2, prior_var=0.01","K=100, T=1, low_rank=2, prior_var=0.1","K=100, T=1, low_rank=2, prior_var=1","K=100, T=1, low_rank=2, prior_var=10","K=100, T=1, low_rank=5, prior_var=1e-06","K=100, T=1, low_rank=5, prior_var=1e-05","K=100, T=1, low_rank=5, prior_var=0.0001","K=100, T=1, low_rank=5, prior_var=0.001","K=100, T=1, low_rank=5, prior_var=0.01","K=100, T=1, low_rank=5, prior_var=0.1","K=100, T=1, low_rank=5, prior_var=1","K=100, T=1, low_rank=5, prior_var=10","K=100, T=1, low_rank=10, prior_var=1e-06","K=100, T=1, low_rank=10, prior_var=1e-05","K=100, T=1, low_rank=10, prior_var=0.0001","K=100, T=1, low_rank=10, prior_var=0.001","K=100, T=1, low_rank=10, prior_var=0.01","K=100, T=1, low_rank=10, prior_var=0.1","K=100, T=1, low_rank=10, prior_var=1","K=100, T=1, low_rank=10, prior_var=10"
Accuracy,0.9054,0.9052,0.9059,0.9076,0.9094,0.9097,0.9094,0.9094,0.9054,0.9053,0.9058,0.9074,0.91,0.91,0.9095,0.9096,0.9054,0.9053,0.9058,0.9074,0.91,0.91,0.9096,0.9098,0.9054,0.9052,0.9058,0.9074,0.9099,0.9096,0.9094,0.9095,0.9054,0.9052,0.9058,0.9073,0.9101,0.9096,0.9095,0.9094
Entropy,0.169,0.1689,0.1677,0.1639,0.1616,0.1614,0.1614,0.1614,0.1691,0.1689,0.1678,0.164,0.1616,0.1614,0.1614,0.1614,0.1691,0.1689,0.1678,0.164,0.1616,0.1615,0.1615,0.1615,0.1691,0.1689,0.1678,0.1641,0.1617,0.1616,0.1616,0.1616,0.1691,0.1689,0.1679,0.1642,0.1619,0.1618,0.1619,0.1619
LPD,-0.2887,-0.2883,-0.2854,-0.2797,-0.276,-0.2755,-0.2756,-0.2756,-0.2887,-0.2883,-0.2854,-0.2797,-0.2759,-0.2754,-0.2753,-0.2753,-0.2887,-0.2883,-0.2854,-0.2796,-0.2758,-0.2753,-0.2753,-0.2753,-0.2887,-0.2883,-0.2854,-0.2796,-0.2758,-0.2752,-0.2752,-0.2752,-0.2887,-0.2883,-0.2854,-0.2796,-0.2757,-0.2751,-0.2751,-0.2751
ECE,0.0309,0.031,0.0307,0.0304,0.0293,0.029,0.0293,0.0292,0.0308,0.0309,0.0308,0.0306,0.0287,0.0287,0.0291,0.029,0.0308,0.0309,0.0308,0.0306,0.0287,0.0286,0.029,0.0288,0.0308,0.031,0.0308,0.0305,0.0287,0.029,0.0292,0.029,0.0308,0.031,0.0307,0.0306,0.0285,0.0289,0.0289,0.029
MCE,0.2716,0.2747,0.2898,0.298,0.1085,0.281,0.2772,0.2791,0.2713,0.2742,0.2903,0.294,0.1178,0.2704,0.2924,0.2934,0.2713,0.2743,0.2902,0.2938,0.1163,0.27,0.2922,0.2934,0.2713,0.2743,0.2896,0.2944,0.114,0.2689,0.2914,0.2928,0.2716,0.2745,0.29,0.2935,0.1148,0.2703,0.2856,0.2866
OOD,0.3754,0.3754,0.3762,0.3806,0.3842,0.383,0.3827,0.3826,0.3754,0.3754,0.3761,0.3807,0.3848,0.3838,0.3836,0.3836,0.3754,0.3754,0.3761,0.3808,0.3848,0.3841,0.3839,0.3839,0.3754,0.3754,0.3761,0.3809,0.3855,0.3849,0.3848,0.3847,0.3753,0.3754,0.3762,0.3814,0.3869,0.3872,0.3873,0.3873
