,"K=100, T=20, low_rank=0, prior_var=1e-06","K=100, T=20, low_rank=0, prior_var=1e-05","K=100, T=20, low_rank=0, prior_var=0.0001","K=100, T=20, low_rank=0, prior_var=0.001","K=100, T=20, low_rank=0, prior_var=0.01","K=100, T=20, low_rank=0, prior_var=0.1","K=100, T=20, low_rank=0, prior_var=1","K=100, T=20, low_rank=0, prior_var=10","K=100, T=20, low_rank=1, prior_var=1e-06","K=100, T=20, low_rank=1, prior_var=1e-05","K=100, T=20, low_rank=1, prior_var=0.0001","K=100, T=20, low_rank=1, prior_var=0.001","K=100, T=20, low_rank=1, prior_var=0.01","K=100, T=20, low_rank=1, prior_var=0.1","K=100, T=20, low_rank=1, prior_var=1","K=100, T=20, low_rank=1, prior_var=10","K=100, T=20, low_rank=2, prior_var=1e-06","K=100, T=20, low_rank=2, prior_var=1e-05","K=100, T=20, low_rank=2, prior_var=0.0001","K=100, T=20, low_rank=2, prior_var=0.001","K=100, T=20, low_rank=2, prior_var=0.01","K=100, T=20, low_rank=2, prior_var=0.1","K=100, T=20, low_rank=2, prior_var=1","K=100, T=20, low_rank=2, prior_var=10","K=100, T=20, low_rank=5, prior_var=1e-06","K=100, T=20, low_rank=5, prior_var=1e-05","K=100, T=20, low_rank=5, prior_var=0.0001","K=100, T=20, low_rank=5, prior_var=0.001","K=100, T=20, low_rank=5, prior_var=0.01","K=100, T=20, low_rank=5, prior_var=0.1","K=100, T=20, low_rank=5, prior_var=1","K=100, T=20, low_rank=5, prior_var=10","K=100, T=20, low_rank=10, prior_var=1e-06","K=100, T=20, low_rank=10, prior_var=1e-05","K=100, T=20, low_rank=10, prior_var=0.0001","K=100, T=20, low_rank=10, prior_var=0.001","K=100, T=20, low_rank=10, prior_var=0.01","K=100, T=20, low_rank=10, prior_var=0.1","K=100, T=20, low_rank=10, prior_var=1","K=100, T=20, low_rank=10, prior_var=10"
Accuracy,0.9894,0.9894,0.9894,0.9894,0.9894,0.9904,0.9908,0.9913,0.9894,0.9894,0.9894,0.9893,0.9894,0.9901,0.9911,0.9914,0.9894,0.9894,0.9894,0.9893,0.9894,0.9901,0.9911,0.9914,0.9894,0.9894,0.9894,0.9893,0.9894,0.9901,0.9911,0.9914,0.9894,0.9894,0.9894,0.9893,0.9894,0.9901,0.9912,0.9914
Entropy,0.0233,0.0233,0.0233,0.0233,0.0236,0.0263,0.0365,0.0409,0.0233,0.0233,0.0233,0.0233,0.0236,0.0266,0.0371,0.0415,0.0233,0.0233,0.0233,0.0233,0.0236,0.0266,0.0371,0.0416,0.0233,0.0233,0.0233,0.0233,0.0236,0.0266,0.0371,0.0418,0.0233,0.0233,0.0233,0.0233,0.0237,0.0266,0.0371,0.0417
LPD,-0.0307,-0.0307,-0.0307,-0.0306,-0.0302,-0.0274,-0.0254,-0.0256,-0.0307,-0.0307,-0.0307,-0.0307,-0.0303,-0.0278,-0.026,-0.0263,-0.0307,-0.0307,-0.0307,-0.0307,-0.0303,-0.0278,-0.026,-0.0262,-0.0307,-0.0307,-0.0307,-0.0307,-0.0303,-0.0278,-0.026,-0.0262,-0.0307,-0.0307,-0.0307,-0.0307,-0.0303,-0.0278,-0.026,-0.0262
ECE,0.0036,0.0036,0.0035,0.0033,0.0031,0.002,0.0034,0.0044,0.0036,0.0035,0.0036,0.0034,0.0032,0.002,0.003,0.0047,0.0036,0.0035,0.0036,0.0034,0.0032,0.002,0.003,0.0047,0.0036,0.0035,0.0036,0.0034,0.0032,0.002,0.003,0.0045,0.0036,0.0035,0.0036,0.0035,0.0033,0.0019,0.003,0.0047
MCE,0.1889,0.1889,0.1889,0.1768,0.6196,0.6171,0.3825,0.294,0.1889,0.1889,0.1889,0.1678,0.162,0.3799,0.2135,0.7241,0.1889,0.1889,0.1889,0.1678,0.162,0.38,0.2189,0.7274,0.1889,0.1889,0.189,0.1678,0.1619,0.3807,0.2175,0.733,0.1889,0.1889,0.189,0.1788,0.1619,0.3825,0.2161,0.7299
OOD,1.2168,1.2168,1.2168,1.2169,1.2188,1.2418,1.304,1.3231,1.2169,1.2169,1.2171,1.2178,1.222,1.2467,1.3063,1.3247,1.2169,1.2169,1.2171,1.2179,1.222,1.2467,1.3061,1.3246,1.2169,1.217,1.2171,1.2179,1.2219,1.2461,1.3057,1.3243,1.2169,1.2169,1.217,1.2176,1.2216,1.2459,1.3059,1.3253
