         ,"K=10, T=1, low_rank=0, prior_var=1e-06" ,"K=10, T=1, low_rank=0, prior_var=1e-05" ,"K=10, T=1, low_rank=0, prior_var=0.0001" ,"K=10, T=1, low_rank=0, prior_var=0.001" ,"K=10, T=1, low_rank=0, prior_var=0.01" ,"K=10, T=1, low_rank=0, prior_var=0.1" ,"K=10, T=1, low_rank=0, prior_var=1" ,"K=10, T=1, low_rank=0, prior_var=10" ,"K=10, T=1, low_rank=1, prior_var=1e-06" ,"K=10, T=1, low_rank=1, prior_var=1e-05" ,"K=10, T=1, low_rank=1, prior_var=0.0001" ,"K=10, T=1, low_rank=1, prior_var=0.001" ,"K=10, T=1, low_rank=1, prior_var=0.01" ,"K=10, T=1, low_rank=1, prior_var=0.1" ,"K=10, T=1, low_rank=1, prior_var=1" ,"K=10, T=1, low_rank=1, prior_var=10" ,"K=10, T=1, low_rank=2, prior_var=1e-06" ,"K=10, T=1, low_rank=2, prior_var=1e-05" ,"K=10, T=1, low_rank=2, prior_var=0.0001" ,"K=10, T=1, low_rank=2, prior_var=0.001" ,"K=10, T=1, low_rank=2, prior_var=0.01" ,"K=10, T=1, low_rank=2, prior_var=0.1" ,"K=10, T=1, low_rank=2, prior_var=1" ,"K=10, T=1, low_rank=2, prior_var=10" ,"K=10, T=1, low_rank=5, prior_var=1e-06" ,"K=10, T=1, low_rank=5, prior_var=1e-05" ,"K=10, T=1, low_rank=5, prior_var=0.0001" ,"K=10, T=1, low_rank=5, prior_var=0.001" ,"K=10, T=1, low_rank=5, prior_var=0.01" ,"K=10, T=1, low_rank=5, prior_var=0.1" ,"K=10, T=1, low_rank=5, prior_var=1" ,"K=10, T=1, low_rank=5, prior_var=10" ,"K=10, T=1, low_rank=10, prior_var=1e-06" ,"K=10, T=1, low_rank=10, prior_var=1e-05" ,"K=10, T=1, low_rank=10, prior_var=0.0001" ,"K=10, T=1, low_rank=10, prior_var=0.001" ,"K=10, T=1, low_rank=10, prior_var=0.01" ,"K=10, T=1, low_rank=10, prior_var=0.1" ,"K=10, T=1, low_rank=10, prior_var=1" ,"K=10, T=1, low_rank=10, prior_var=10"
Accuracy ,0.9055                                   ,0.9055                                   ,0.9054                                    ,0.9049                                   ,0.905                                   ,0.9047                                 ,0.9046                               ,0.9047                                ,0.9055                                   ,0.9055                                   ,0.9054                                    ,0.9049                                   ,0.9048                                  ,0.9047                                 ,0.9046                               ,0.9046                                ,0.9055                                   ,0.9055                                   ,0.9054                                    ,0.9049                                   ,0.9048                                  ,0.9047                                 ,0.9045                               ,0.9046                                ,0.9055                                   ,0.9055                                   ,0.9055                                    ,0.9049                                   ,0.9051                                  ,0.9044                                 ,0.9043                               ,0.9044                                ,0.9055                                    ,0.9055                                    ,0.9055                                     ,0.9049                                    ,0.9051                                   ,0.9045                                  ,0.9044                                ,0.9044
Entropy  ,0.1691                                   ,0.1691                                   ,0.1691                                    ,0.1692                                   ,0.1696                                  ,0.1699                                 ,0.1699                               ,0.1699                                ,0.1691                                   ,0.1691                                   ,0.1691                                    ,0.1692                                   ,0.1696                                  ,0.1699                                 ,0.17                                 ,0.17                                  ,0.1691                                   ,0.1691                                   ,0.1691                                    ,0.1692                                   ,0.1696                                  ,0.1699                                 ,0.17                                 ,0.17                                  ,0.1691                                   ,0.1691                                   ,0.1691                                    ,0.1691                                   ,0.1695                                  ,0.1698                                 ,0.1699                               ,0.1699                                ,0.1691                                    ,0.1691                                    ,0.1691                                     ,0.1691                                    ,0.1695                                   ,0.1699                                  ,0.1699                                ,0.1699
LPD      ,-0.2888                                  ,-0.2888                                  ,-0.2885                                   ,-0.2873                                  ,-0.2855                                 ,-0.2853                                ,-0.2852                              ,-0.2852                               ,-0.2888                                  ,-0.2888                                  ,-0.2885                                   ,-0.2873                                  ,-0.2855                                 ,-0.2852                                ,-0.2852                              ,-0.2852                               ,-0.2888                                  ,-0.2888                                  ,-0.2885                                   ,-0.2873                                  ,-0.2855                                 ,-0.2852                                ,-0.2852                              ,-0.2852                               ,-0.2888                                  ,-0.2888                                  ,-0.2886                                   ,-0.2873                                  ,-0.2855                                 ,-0.2853                                ,-0.2852                              ,-0.2852                               ,-0.2888                                   ,-0.2888                                   ,-0.2886                                    ,-0.2873                                   ,-0.2855                                  ,-0.2852                                 ,-0.2852                               ,-0.2852
ECE      ,0.0307                                   ,0.0307                                   ,0.0307                                    ,0.0311                                   ,0.0308                                  ,0.0308                                 ,0.0309                               ,0.0308                                ,0.0307                                   ,0.0307                                   ,0.0307                                    ,0.0311                                   ,0.0313                                  ,0.0308                                 ,0.0309                               ,0.0309                                ,0.0307                                   ,0.0307                                   ,0.0307                                    ,0.0311                                   ,0.0312                                  ,0.0308                                 ,0.031                                ,0.0309                                ,0.0307                                   ,0.0307                                   ,0.0307                                    ,0.0311                                   ,0.0309                                  ,0.0311                                 ,0.0312                               ,0.0311                                ,0.0307                                    ,0.0307                                    ,0.0307                                     ,0.0311                                    ,0.0308                                   ,0.031                                   ,0.0311                                ,0.0311
MCE      ,0.2712                                   ,0.2712                                   ,0.2714                                    ,0.2705                                   ,0.1644                                  ,0.2641                                 ,0.2639                               ,0.2639                                ,0.2712                                   ,0.2712                                   ,0.2714                                    ,0.2707                                   ,0.1587                                  ,0.2644                                 ,0.2642                               ,0.2642                                ,0.2712                                   ,0.2712                                   ,0.2714                                    ,0.2706                                   ,0.1587                                  ,0.2644                                 ,0.2642                               ,0.2642                                ,0.2711                                   ,0.271                                    ,0.2708                                    ,0.2699                                   ,0.1311                                  ,0.2618                                 ,0.2616                               ,0.2615                                ,0.2711                                    ,0.2711                                    ,0.271                                      ,0.2699                                    ,0.1353                                   ,0.2622                                  ,0.262                                 ,0.262
OOD      ,0.3753                                   ,0.3753                                   ,0.3754                                    ,0.376                                    ,0.378                                   ,0.3789                                 ,0.379                                ,0.379                                 ,0.3753                                   ,0.3753                                   ,0.3754                                    ,0.3761                                   ,0.3783                                  ,0.3792                                 ,0.3793                               ,0.3794                                ,0.3753                                   ,0.3753                                   ,0.3754                                    ,0.3762                                   ,0.3784                                  ,0.3792                                 ,0.3794                               ,0.3794                                ,0.3753                                   ,0.3754                                   ,0.3755                                    ,0.3763                                   ,0.3784                                  ,0.3793                                 ,0.3794                               ,0.3794                                ,0.3753                                    ,0.3754                                    ,0.3755                                     ,0.3763                                    ,0.3786                                   ,0.3795                                  ,0.3796                                ,0.3796
