,"K=10, T=2500, low_rank=0, prior_var=1e-06","K=10, T=2500, low_rank=0, prior_var=1e-05","K=10, T=2500, low_rank=0, prior_var=0.0001","K=10, T=2500, low_rank=0, prior_var=0.001","K=10, T=2500, low_rank=0, prior_var=0.01","K=10, T=2500, low_rank=0, prior_var=0.1","K=10, T=2500, low_rank=0, prior_var=1","K=10, T=2500, low_rank=0, prior_var=10","K=10, T=2500, low_rank=1, prior_var=1e-06","K=10, T=2500, low_rank=1, prior_var=1e-05","K=10, T=2500, low_rank=1, prior_var=0.0001","K=10, T=2500, low_rank=1, prior_var=0.001","K=10, T=2500, low_rank=1, prior_var=0.01","K=10, T=2500, low_rank=1, prior_var=0.1","K=10, T=2500, low_rank=1, prior_var=1","K=10, T=2500, low_rank=1, prior_var=10","K=10, T=2500, low_rank=2, prior_var=1e-06","K=10, T=2500, low_rank=2, prior_var=1e-05","K=10, T=2500, low_rank=2, prior_var=0.0001","K=10, T=2500, low_rank=2, prior_var=0.001","K=10, T=2500, low_rank=2, prior_var=0.01","K=10, T=2500, low_rank=2, prior_var=0.1","K=10, T=2500, low_rank=2, prior_var=1","K=10, T=2500, low_rank=2, prior_var=10","K=10, T=2500, low_rank=5, prior_var=1e-06","K=10, T=2500, low_rank=5, prior_var=1e-05","K=10, T=2500, low_rank=5, prior_var=0.0001","K=10, T=2500, low_rank=5, prior_var=0.001","K=10, T=2500, low_rank=5, prior_var=0.01","K=10, T=2500, low_rank=5, prior_var=0.1","K=10, T=2500, low_rank=5, prior_var=1","K=10, T=2500, low_rank=5, prior_var=10","K=10, T=2500, low_rank=10, prior_var=1e-06","K=10, T=2500, low_rank=10, prior_var=1e-05","K=10, T=2500, low_rank=10, prior_var=0.0001","K=10, T=2500, low_rank=10, prior_var=0.001","K=10, T=2500, low_rank=10, prior_var=0.01","K=10, T=2500, low_rank=10, prior_var=0.1","K=10, T=2500, low_rank=10, prior_var=1","K=10, T=2500, low_rank=10, prior_var=10"
Accuracy,0.9055,0.9054,0.9054,0.9054,0.9054,0.9052,0.9057,0.9042,0.9055,0.9054,0.9054,0.9054,0.9053,0.9056,0.9049,0.903,0.9055,0.9055,0.9054,0.9054,0.9053,0.9056,0.9051,0.9029,0.9055,0.9055,0.9054,0.9054,0.9055,0.9053,0.9052,0.9044,0.9055,0.9055,0.9055,0.9054,0.9055,0.9054,0.9054,0.9039
Entropy,0.1691,0.1691,0.1691,0.1691,0.1694,0.1726,0.1984,0.2878,0.1691,0.1691,0.1691,0.1691,0.1695,0.1729,0.199,0.2878,0.1691,0.1691,0.1691,0.1691,0.1695,0.1729,0.1993,0.2861,0.1691,0.1691,0.1691,0.1691,0.1695,0.1729,0.1988,0.2907,0.1691,0.1691,0.1691,0.1691,0.1695,0.1729,0.1979,0.2846
LPD,-0.2888,-0.2888,-0.2888,-0.2888,-0.2886,-0.2867,-0.2751,-0.2689,-0.2888,-0.2888,-0.2888,-0.2888,-0.2886,-0.2869,-0.2758,-0.2704,-0.2888,-0.2888,-0.2888,-0.2888,-0.2886,-0.2869,-0.2757,-0.2702,-0.2888,-0.2888,-0.2888,-0.2888,-0.2886,-0.2867,-0.2755,-0.2691,-0.2888,-0.2888,-0.2888,-0.2888,-0.2886,-0.2866,-0.2758,-0.2683
ECE,0.0307,0.0308,0.0308,0.0308,0.0308,0.0296,0.0195,0.0109,0.0307,0.0308,0.0308,0.0308,0.0307,0.0297,0.0204,0.0106,0.0307,0.0307,0.0308,0.0308,0.0307,0.0295,0.0204,0.0093,0.0307,0.0307,0.0308,0.0308,0.0306,0.0292,0.0193,0.0118,0.0307,0.0307,0.0307,0.0307,0.0306,0.0302,0.0194,0.0107
MCE,0.2712,0.2712,0.2713,0.2715,0.2711,0.2781,0.2596,0.0389,0.2712,0.2712,0.2713,0.2715,0.2717,0.2792,0.1043,0.0918,0.2712,0.2712,0.2713,0.2715,0.2717,0.2792,0.1085,0.1214,0.2711,0.271,0.2709,0.2706,0.269,0.275,0.0981,0.0684,0.2711,0.271,0.271,0.2707,0.2695,0.2735,0.0959,0.2642
OOD,0.3753,0.3753,0.3754,0.3756,0.3779,0.4008,0.5547,0.9016,0.3753,0.3753,0.3754,0.3756,0.3783,0.4035,0.5665,0.929,0.3753,0.3753,0.3754,0.3756,0.3784,0.4038,0.5674,0.9342,0.3753,0.3753,0.3754,0.3756,0.3782,0.4014,0.5587,0.8971,0.3753,0.3753,0.3754,0.3756,0.378,0.4013,0.557,0.8994
