,"K=1000, T=1, low_rank=0, prior_var=1e-06","K=1000, T=1, low_rank=0, prior_var=1e-05","K=1000, T=1, low_rank=0, prior_var=0.0001","K=1000, T=1, low_rank=0, prior_var=0.001","K=1000, T=1, low_rank=0, prior_var=0.01","K=1000, T=1, low_rank=0, prior_var=0.1","K=1000, T=1, low_rank=0, prior_var=1","K=1000, T=1, low_rank=0, prior_var=10","K=1000, T=1, low_rank=1, prior_var=1e-06","K=1000, T=1, low_rank=1, prior_var=1e-05","K=1000, T=1, low_rank=1, prior_var=0.0001","K=1000, T=1, low_rank=1, prior_var=0.001","K=1000, T=1, low_rank=1, prior_var=0.01","K=1000, T=1, low_rank=1, prior_var=0.1","K=1000, T=1, low_rank=1, prior_var=1","K=1000, T=1, low_rank=1, prior_var=10","K=1000, T=1, low_rank=2, prior_var=1e-06","K=1000, T=1, low_rank=2, prior_var=1e-05","K=1000, T=1, low_rank=2, prior_var=0.0001","K=1000, T=1, low_rank=2, prior_var=0.001","K=1000, T=1, low_rank=2, prior_var=0.01","K=1000, T=1, low_rank=2, prior_var=0.1","K=1000, T=1, low_rank=2, prior_var=1","K=1000, T=1, low_rank=2, prior_var=10","K=1000, T=1, low_rank=5, prior_var=1e-06","K=1000, T=1, low_rank=5, prior_var=1e-05","K=1000, T=1, low_rank=5, prior_var=0.0001","K=1000, T=1, low_rank=5, prior_var=0.001","K=1000, T=1, low_rank=5, prior_var=0.01","K=1000, T=1, low_rank=5, prior_var=0.1","K=1000, T=1, low_rank=5, prior_var=1","K=1000, T=1, low_rank=5, prior_var=10","K=1000, T=1, low_rank=10, prior_var=1e-06","K=1000, T=1, low_rank=10, prior_var=1e-05","K=1000, T=1, low_rank=10, prior_var=0.0001","K=1000, T=1, low_rank=10, prior_var=0.001","K=1000, T=1, low_rank=10, prior_var=0.01","K=1000, T=1, low_rank=10, prior_var=0.1","K=1000, T=1, low_rank=10, prior_var=1","K=1000, T=1, low_rank=10, prior_var=10"
Accuracy,0.9894,0.9894,0.9895,0.9904,0.9916,0.9922,0.9921,0.9923,0.9894,0.9894,0.9897,0.9904,0.9917,0.9922,0.9924,0.9925,0.9894,0.9894,0.9897,0.9904,0.9916,0.9922,0.9924,0.9924,0.9894,0.9894,0.9896,0.9904,0.9917,0.9922,0.9923,0.9924,0.9894,0.9894,0.9897,0.9904,0.9917,0.9921,0.9922,0.9923
Entropy,0.0232,0.0232,0.0229,0.0218,0.022,0.0278,0.0292,0.0294,0.0232,0.0232,0.0229,0.0218,0.0219,0.0279,0.0295,0.0297,0.0232,0.0232,0.0229,0.0218,0.0219,0.0281,0.0298,0.03,0.0232,0.0232,0.0229,0.0219,0.0223,0.0286,0.0302,0.0304,0.0233,0.0232,0.0229,0.0221,0.0229,0.0296,0.0314,0.0317
LPD,-0.0307,-0.0306,-0.03,-0.0273,-0.0231,-0.0215,-0.022,-0.0222,-0.0307,-0.0306,-0.03,-0.0272,-0.023,-0.0217,-0.0225,-0.0226,-0.0307,-0.0306,-0.03,-0.0272,-0.023,-0.0217,-0.0225,-0.0227,-0.0307,-0.0306,-0.03,-0.0272,-0.023,-0.0218,-0.0225,-0.0227,-0.0307,-0.0306,-0.0299,-0.0271,-0.023,-0.022,-0.0228,-0.023
ECE,0.0034,0.0034,0.0032,0.0029,0.0017,0.0021,0.0022,0.0021,0.0035,0.0032,0.0031,0.0026,0.0018,0.0017,0.002,0.0022,0.0035,0.0032,0.0031,0.0028,0.0018,0.0016,0.0021,0.0022,0.0035,0.0032,0.0031,0.0027,0.0018,0.0018,0.0021,0.0024,0.0035,0.0033,0.003,0.0026,0.0013,0.0019,0.0025,0.0025
MCE,0.1781,0.1785,0.6189,0.3987,0.0987,0.393,0.3723,0.3616,0.1889,0.167,0.6177,0.1112,0.1079,0.1331,0.1063,0.1398,0.189,0.1671,0.6174,0.2117,0.142,0.0729,0.0976,0.1182,0.189,0.1572,0.6177,0.1209,0.1932,0.0708,0.1082,0.1215,0.1892,0.1687,0.6179,0.1298,0.1889,0.393,0.1023,0.1022
OOD,1.2167,1.2166,1.2161,1.2149,1.182,1.1769,1.1784,1.1771,1.2169,1.2169,1.2169,1.2163,1.1895,1.1907,1.1911,1.1902,1.217,1.217,1.2168,1.2164,1.1895,1.1923,1.1945,1.1944,1.2169,1.2169,1.2168,1.2166,1.1924,1.1973,1.2008,1.1996,1.2168,1.2169,1.2172,1.2189,1.1966,1.2061,1.2102,1.2097
